States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	91	182	182	125	125	154	91	105	86	91	89	23	97	250.25	182	151	149.5	176.75	91	126	113	91	100	32	100	273	273	160	160	191.5	91	136.5	121	91	110	39	105	273	273	169.25	169.25	202	93	145	127	93	118.25	44.25	121	364	364	187	187	234	108	185	154	108	144	74	101.25	256.62	251.16	159.81	158.54	190.64	92.04	136.36	120.69	92.04	109.94	39.18
20	218	543	362	364	349	392	181	241	244	181	184	54	253	543	543	387	369	446.75	181	277	273	181	216.25	70	267.5	724	543	396	381	464.5	183	298	284	183	226.5	78	276.5	724	724	408	395.25	480	187	314.25	298	187	243.25	88	328	905	905	452	452	527	230	352	329	230	272	120	266.67	646.17	622.64	397.33	383.6	464.23	187.06	296.71	285.54	187.06	228.6	80.13
30	374	813	813	613	566	700	271	405	410	271	301	80	474.75	1084	1084	638	607.75	742	275	436.75	445	275	338.5	109	509	1084	1084	654	625	758.5	290	462	463.5	290	351	123	541.25	1084	1084	672.5	649	786.5	297	476.25	480.25	297	367	137.25	667	1355	1355	733	728	841	344	529	517	344	408	181	507.66	1121.94	1094.84	658.15	628.59	764.49	289.63	459.3	463.06	289.63	350.3	123.38
40	677	1444	1444	862	805	1018	361	577	560	361	420	99	809.5	1444	1444	923.5	878.75	1062.75	380.75	616.75	627.75	380.75	466	153	842	1444	1444	944	900.5	1082.5	388.5	643	648	388.5	481	171	880.25	1805	1805	965.25	927.25	1110	407	669.5	667	407	502.75	186	1006	2166	2166	1029	1029	1214	459	744	713	459	566	224	843.74	1620.89	1588.4	945.2	901.43	1086.99	393.8	644.57	647.62	393.8	484.07	170.97
50	1098	1804	1804	1169	1120	1329	451	733	746	451	553	139	1223.75	1804	1804	1226.75	1160.75	1392.75	481.5	786.75	810.75	481.5	595	193	1272.5	2255	2255	1243	1190	1414	499.5	828	836	499.5	622.5	209	1346	2255	2255	1262	1213.25	1451	520.25	864	857	520.25	645.5	225.5	1514	2706	2706	1341	1307	1535	603	968	901	603	723	274	1284.01	2146.76	2106.17	1244.5	1190.17	1423.3	503.3	828.64	834.32	503.3	621.3	209.62
60	1616	2164	2164	1473	1414	1651	545	898	954	545	674	186	1783	2705	2705	1534.25	1476	1728	584.75	958	1004.75	584.75	720	227.75	1839.5	2705	2705	1554.5	1496.5	1758	600	997	1028	600	749	255	1985	2705	2705	1582	1529	1789.25	617.5	1040.25	1051	617.5	774.5	278.5	2294	3246	3246	1636	1618	1887	726	1140	1116	726	861	342	1877.7	2748.28	2699.59	1554.89	1502.55	1760.53	604.96	1001.9	1028.92	604.96	752.44	254.93
70	2308	2524	2524	1826	1702	2019	643	1013	1141	643	799	210	2520.75	3155	3155	1858	1787.25	2081	690.25	1138.75	1189	690.25	858.75	268	2635	3155	3155	1876.5	1815	2110	720.5	1180.5	1218	720.5	874.5	293	2750.25	3786	3155	1897.5	1858.25	2150.25	753.25	1231	1246	753.25	908	319.25	3099	3786	3786	1958	1943	2263	834	1347	1329	834	964	367	2634.55	3262.27	3237.03	1879.18	1818.37	2113.02	726.9	1181.96	1219.78	726.9	881.38	294.51
80	2903	2884	2884	2135	2034	2366	747	1205	1349	747	907	256	3483.5	3605	3605	2180	2098	2441	806.75	1330.75	1404.25	806.75	983	305.75	3612	3605	3605	2208	2133	2472	839	1376	1430.5	839	1016.5	323	3755.75	4326	4326	2228.5	2163	2517	863.25	1431.25	1457.25	863.25	1043.25	346.25	4037	4326	4326	2341	2271	2681	980	1573	1539	980	1114	405	3601.97	3850.14	3785.25	2206.45	2135.86	2480.27	837.06	1379.64	1431.11	837.06	1012.99	325.39
90	4180	4055	3244	2453	2347	2685	855	1396	1526	855	1030	269	4499.5	4055	4055	2505	2421.75	2811.25	897.75	1521	1599	897.75	1113	343.5	4656.5	4055	4055	2532.5	2453.5	2846.5	932.5	1573.5	1621.5	932.5	1148	367.5	4857.75	4866	4866	2569.5	2484	2877.25	966	1615.25	1652.75	966	1188.5	392	5324	5677	5677	2652	2607	3061	1101	1745	1776	1101	1285	462	4682.55	4436.17	4387.51	2536.78	2456.59	2843.94	937.11	1567.72	1626.14	937.11	1154.11	366.53
100	4954	4505	4505	2797	2669	3092	934	1582	1705	934	1208	301	5598	4505	4505	2859	2733.75	3184.75	1010.75	1709.5	1801	1010.75	1251	374.25	5726.5	5406	4505	2878	2765	3221	1045	1756	1827	1045	1280	399	5896.25	5406	5406	2908.5	2833.5	3267.25	1079.25	1802.5	1862.25	1079.25	1318	426	6655	6307	6307	2972	2931	3388	1156	1952	1938	1156	1419	505	5742.16	5063.62	4955.5	2882.36	2779.28	3224.73	1044.86	1758.32	1828.23	1044.86	1284.96	400.53
