States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	315	292	292	258	258	259	317	315	317	315	311	349	334.5	292	292	275	274.75	281.75	355	339	366.5	339	339	413	346	393	393	282.5	282	291	366.5	351	391	348	351	433	357	393	393	289.25	289.25	299	376	363	415.5	363	363	451	383	494	494	318	318	333	434	409	493	409	397	483	346.18	358.66	358.66	282.2	282.04	290.96	366.61	351.88	392.04	350.34	350.84	431.44
20	727	783	783	582	582	624	807	735	875	735	741	907	749	783	783	644	644	664	856	768	976.5	763	782.5	985	763	984	984	660	660	683.5	885.5	801	1021	801	804	1017	763	984	984	675.25	676.5	702.25	915.25	821.5	1085.5	826	825	1059	763	1185	1185	747	747	746	990	893	1211	953	895	1139	756.22	913.65	913.65	660.98	661.17	684.47	889.79	799.52	1028.42	799.94	805.18	1018.66
30	1109	1173	1173	999	999	1011	1323	1143	1501	1143	1173	1465	1143	1474	1474	1048.75	1048.5	1071.75	1404.75	1208.5	1659	1215	1233	1591	1143	1474	1474	1068.5	1069	1092	1439	1237	1702	1245	1259	1644	1143	1474	1474	1088	1088	1115.5	1478.75	1275	1765.5	1287.5	1299.5	1695	1167	1775	1775	1137	1137	1181	1613	1365	1931	1409	1457	1911	1141.6	1516.14	1516.14	1069.75	1069.79	1094.78	1444.21	1244.8	1710.34	1254.76	1267.88	1648.5
40	1523	1964	1964	1420	1420	1432	1855	1597	2213	1577	1573	1981	1523	1964	1964	1477.75	1477.75	1507	1988.5	1661	2402.5	1690.5	1706.5	2208.5	1523	2365	2365	1502	1501.5	1530	2030.5	1711	2450	1731	1745	2279	1523	2365	2365	1533	1533.75	1551	2085.25	1759.5	2510	1771	1787	2337	1523	2766	2766	1621	1610	1631	2195	1911	2711	1851	1963	2519	1523	2180.54	2180.54	1506.02	1505.39	1529.92	2035.54	1713.04	2458.58	1727.4	1746.62	2277.12
50	1903	2454	2454	1818	1818	1874	2480	2057	2987	2075	2103	2689	1903	2454	2454	1920.75	1919.75	1942	2583.25	2151	3138.5	2163	2192.5	2820.5	1903	2955	2955	1954	1954	1966	2637	2204	3199	2213	2247	2910	1903	2955	2955	1987	1988.25	1992.5	2685	2257	3264.5	2266	2305.5	2991	1935	3957	3957	2054	2054	2083	2856	2403	3521	2461	2499	3217	1903.32	2849.79	2849.79	1955.04	1953.74	1969.24	2641.18	2205.64	3209.78	2214.06	2254.56	2918.04
60	2283	2944	2944	2298	2286	2302	3034	2395	3713	2491	2537	3327	2283	3545	3545	2384	2384	2383.75	3203	2638.5	3899	2645	2702	3485	2283	3545	3545	2404.5	2404.5	2412	3269	2696	3971	2706	2769	3604	2283	3545	3545	2445.25	2445.25	2453.5	3333	2747.5	4072.5	2775.5	2819.5	3698	2283	4146	4146	2579	2572	2530	3595	2923	4311	2969	2937	3977	2283	3520.96	3520.96	2418.68	2418.09	2417.03	3272.17	2692.14	3985.26	2713.5	2758.68	3594.96
70	2663	3434	3434	2765	2765	2791	3536	3001	4575	2909	3065	3943	2663	4135	4135	2847.25	2851	2845.25	3842.25	3140	4712.5	3153	3215.5	4144.5	2663	4135	4135	2885	2884.5	2883.5	3910.5	3185	4812	3197	3253	4233	2663	4135	4135	2934.25	2935	2924	3981	3265.5	4905	3259.5	3327.5	4355.5	2777	4836	4836	2996	3039	3052	4270	3489	5215	3515	3607	4551	2668.06	4254.17	4261.18	2891.69	2891.28	2891.11	3909.42	3200.22	4825.24	3208.3	3275.88	4243.02
80	3043	3924	3924	3237	3237	3220	4277	3505	5249	3451	3599	4647	3043	4725	4725	3344.25	3339	3334.75	4487.75	3669	5585	3662.5	3761	4885	3043	4725	4725	3404.5	3401.5	3361.5	4573	3747	5642	3736	3815	4963	3043	5526	5526	3439	3437.25	3398.5	4643.25	3802	5766.5	3813	3879	5110.5	3193	6327	6327	3578	3565	3506	4897	4009	6001	4053	4061	5493	3055.8	5005.35	5005.35	3397.74	3393.03	3366.47	4576.57	3740.42	5664.62	3744.7	3821.36	4991.38
90	3423	5315	5315	3707	3707	3717	4948	4009	6239	3981	4109	5205	3423	5315	5315	3843.25	3831	3811.75	5171	4190.5	6434.5	4202	4307	5539.5	3423	5315	5315	3893	3885.5	3845.5	5239	4265	6523	4265	4379	5693	3423	6216	6216	3935.5	3925	3882	5342.5	4361.5	6602.5	4354.5	4470	5816.5	3711	7117	7117	4060	4060	3979	5534	4577	6869	4515	4697	6161	3445.24	5720.45	5729.46	3886.2	3879.76	3846.6	5250.57	4275.94	6518.2	4273.66	4382.9	5682.24
100	3803	5905	5905	4205	4205	4175	5635	4537	6959	4531	4623	5829	3803	5905	5905	4347	4345.5	4290.5	5834.5	4752.5	7286	4721	4841.5	6355	3848	6906	6906	4394.5	4385	4337	5914.5	4816	7389	4804	4911	6483	3921	6906	6906	4450.5	4439	4372.5	5993	4881.5	7479	4871	4965	6585	4009	7907	7907	4567	4567	4499	6247	5117	7853	5075	5161	6975	3865.4	6435.53	6435.53	4395.3	4388.39	4330.93	5913.99	4821.68	7381.78	4800.14	4912.3	6473.66
