States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	91	91	91	91	91	91	91	91	52	48	87	12	91	91	91	91	91	91	91	91	69	59	89	21	91	192	192	91	91	108	92.5	91	74	66	90	25	91	192	192	109	109	115	93	91	82.25	71	91	31	91	293	293	133	133	156	96	124	116	78	109	48	91	157.66	157.66	99.61	99.45	108.37	92.36	93.1	75.69	64.84	91.68	25.68
20	181	382	382	181	181	233	181	181	149	113	174	37	181	382	382	247	247	265.25	188	187.25	182.75	131	182	46	181	583	583	261.5	262	285.5	190	194.5	193.5	136	186	53	181	583	583	280	280.75	306.25	192	203	209	143	192.25	58	181	784	784	352	352	347	196	231	263	158	218	77	181	512.65	512.65	263.37	263.56	286.86	189.86	195.74	195.84	136.31	188.24	52.49
30	271	572	572	398	398	410	282	271	267	185	265	52	271	873	873	449.75	449.75	470.75	288	289.75	311.75	201.75	278.75	70	271	873	873	468.5	469.5	491	289	300	326.5	210.5	284.5	79.5	271	873	873	487	487	514.75	291	314	349	217	292.25	89	275	1174	1174	538	538	580	297	349	395	234	328	107	271.04	915.14	915.14	469.57	469.61	494.6	289.35	302.54	329.63	209.22	285.83	79.96
40	361	1163	1163	619	619	631	383	376	414	252	357	76	361	1163	1163	676.75	676.75	706	389	401	455.5	270	374.5	95.75	361	1564	1564	701	700.5	729	391	415.5	474.5	280	384	105	361	1564	1564	732	732.75	750	392	430	495	292	395	115	361	1965	1965	820	809	830	399	466	544	322	418	138	361	1379.54	1379.54	705.02	704.39	728.92	390.5	415.64	474.93	281.72	384.57	105.98
50	451	1453	1453	817	817	873	483	474	542	316	457	99	451	1453	1453	919.75	918.75	941	490	517.75	606.25	343	473.75	118.75	451	1954	1954	953	953	965	492	532	629	353.5	483	130	451	1954	1954	986	987.25	991.5	493	550	649	365	499.25	140.25	457	2956	2956	1053	1053	1082	498	583	724	395	557	170	451.06	1848.79	1848.79	954.04	952.74	968.24	491.39	533.6	627.44	354.72	487.2	129.81
60	541	1743	1743	1097	1085	1101	583	569	691	384	546	100	541	2344	2344	1183	1183	1182.75	591	635	753.25	421.75	572.75	136.75	541	2344	2344	1203.5	1203.5	1211	593	653.5	780.5	433	588	154.5	541	2344	2344	1244.25	1244.25	1252.5	595	669	814	443.5	601	169	541	2945	2945	1378	1371	1329	598	716	862	471	633	212	541	2319.96	2319.96	1217.68	1217.09	1216.03	592.5	653.11	781.01	432.56	588.16	153.32
70	631	2033	2033	1364	1364	1390	685	710	859	465	647	119	631	2734	2734	1446.25	1450	1444.25	693	750	917	490	672	162.75	631	2734	2734	1484	1483.5	1482.5	695	771	938	503	686	176.5	631	2734	2734	1533.25	1534	1523	696	802	969.25	514.25	703.25	192.25	673	3435	3435	1595	1638	1651	701	858	1065	558	745	249	632.87	2853.17	2860.18	1490.69	1490.28	1490.11	694.19	775.45	944.61	503.76	689.41	177.54
80	721	2323	2323	1636	1636	1619	789	827	1021	538	744	137	721	3124	3124	1743.25	1738	1733.75	794	881.75	1086.75	571.75	774	177	721	3124	3124	1803.5	1800.5	1760.5	795	905.5	1113	582	786	192.5	721	3925	3925	1838	1836.25	1797.5	797	923.5	1142.25	597	810.25	209.25	786	4726	4726	1977	1964	1905	801	991	1228	630	870	274	726.23	3404.35	3404.35	1796.74	1792.03	1765.47	795.37	902.99	1114.37	583.94	792.95	194.08
90	811	3514	3514	1906	1906	1916	887	966	1158	607	849	166	811	3514	3514	2042.25	2030	2010.75	895	1005.25	1256.5	649	876.5	206.75	811	3514	3514	2092	2084.5	2044.5	897	1026	1280	659	890.5	214	811	4415	4415	2134.5	2124	2081	898	1050	1307.25	671.25	913.25	228.25	923	5316	5316	2259	2259	2178	901	1132	1384	704	956	282	819.9	3919.45	3928.46	2085.2	2078.76	2045.6	896.42	1029.63	1279.83	659.72	895	218.49
100	901	3904	3904	2204	2204	2174	991	1055	1338	694	939	178	901	3904	3904	2346	2344.5	2289.5	996	1135.75	1420	719	972	218	919	4905	4905	2393.5	2384	2336	998	1157	1454.5	733.5	988.5	235	951	4905	4905	2449.5	2438	2371.5	999	1184.25	1476	744.25	1002.25	254.25	989	5906	5906	2566	2566	2498	1001	1257	1542	784	1052	301	926.61	4434.53	4434.53	2394.3	2387.39	2329.93	997.42	1158.87	1449.01	733.59	989.92	235.99
