States	0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	3_0	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	4_0	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	Avg_0	Avg_1	Avg_2	Avg_3	Avg_4	Avg_5	Avg_6	Avg_7	Avg_8	Avg_9	Avg_10	Avg_11
10	191	282	282	225	225	254	249	238	268	249	247	278	213	350.25	282	251	249.5	276.75	275	269	304.75	275	277	316	223	373	373	260	260	291.5	295	279.5	321	295	286.5	331.5	235.25	373	373	269.25	269.25	302	305	292.25	333.25	305	298	352.5	265	464	464	287	287	334	404	340	392	404	353	439	224.51	356.62	351.16	259.81	258.54	290.64	293.85	282.4	320.84	293.85	287.8	334.43
20	542	743	562	564	549	592	593	597	648	593	611	703	606	743	743	587	569	646.75	645.25	628.5	720	645.25	639	748.25	624	924	743	596	581	664.5	659.5	643.5	739.5	659.5	655.5	777.5	640.5	924	924	608	595.25	680	682.25	663	762.25	682.25	674.25	802.25	688	1105	1105	652	652	727	842	737	820	842	744	958	622.3	846.17	822.64	597.33	583.6	664.23	666.66	647.4	740.27	666.66	660.82	780.93
30	939	1113	1113	913	866	1000	981	956	1105	981	968	1150	1042.75	1384	1384	938	907.75	1042	1039	1021.75	1161	1039	1034.75	1243	1071.5	1384	1384	954	925	1058.5	1068.5	1047	1180	1068.5	1057.5	1278.5	1107.25	1384	1384	972.5	949	1086.5	1095.25	1066.25	1212	1095.25	1075	1326	1224	1655	1655	1033	1028	1141	1213	1100	1297	1213	1144	1466	1072.44	1421.94	1394.84	958.15	928.59	1064.49	1070.11	1041.69	1188.96	1070.11	1056.07	1280.62
40	1438	1844	1844	1262	1205	1418	1389	1349	1570	1389	1406	1622	1568.5	1844	1844	1323.5	1278.75	1462.75	1466.75	1449	1631	1466.75	1476.75	1746	1603	1844	1844	1344	1300.5	1482.5	1506	1470	1662.5	1506	1507	1794.5	1641.25	2205	2205	1365.25	1327.25	1510	1539	1499	1693.25	1539	1546	1844.25	1767	2566	2566	1429	1429	1614	1640	1557	1823	1640	1617	2025	1604.22	2020.89	1988.4	1345.2	1301.43	1486.99	1504.18	1469.82	1665.22	1504.18	1507.24	1795.43
50	2049	2304	2304	1669	1620	1829	1799	1809	2048	1799	1822	2114	2174.75	2304	2304	1726.75	1660.75	1892.75	1909.75	1881.75	2121.25	1909.75	1927.25	2279.75	2223.5	2755	2755	1743	1690	1914	1950	1905.5	2157.5	1950	1949	2332	2294.75	2755	2755	1762	1713.25	1951	1980	1933.75	2193.25	1980	1982.5	2414.5	2465	3206	3206	1841	1807	2035	2223	2025	2292	2223	2086	2740	2234.65	2646.76	2606.17	1744.5	1690.17	1923.3	1947.67	1908.79	2160.45	1947.67	1951.64	2348.44
60	2796	2764	2764	2073	2014	2251	2273	2247	2498	2273	2237	2645	2927.25	3305	3305	2134.25	2076	2328	2361.75	2300.75	2610.5	2361.75	2372.5	2812.25	2986	3305	3305	2154.5	2096.5	2358	2386.5	2339	2651	2386.5	2411	2877.5	3126	3305	3305	2182	2129	2389.25	2436.5	2378	2686.25	2436.5	2445.75	2938.75	3435	3846	3846	2236	2218	2487	2670	2492	2827	2670	2511	3199	3020.98	3348.28	3299.59	2154.89	2102.55	2360.53	2402.77	2342.55	2652.57	2402.77	2407.06	2880.03
70	3639	3224	3224	2526	2402	2719	2717	2691	3062	2717	2759	3180	3874.5	3855	3855	2558	2487.25	2781	2837.75	2770.75	3119.75	2837.75	2850.75	3401.75	3980.5	3855	3855	2576.5	2515	2810	2884	2798.5	3164	2884	2881.5	3509.5	4081.25	4486	3855	2597.5	2558.25	2850.25	2939.25	2830.5	3206.25	2939.25	2926.25	3583.5	4430	4486	4486	2658	2643	2963	3252	2948	3322	3252	3117	3913	3983.88	3962.27	3937.03	2579.18	2518.37	2813.02	2891.63	2802.08	3166.42	2891.63	2885.6	3506.38
80	4486	3684	3684	2935	2834	3166	3135	3155	3528	3135	3187	3777	5088	4405	4405	2980	2898	3241	3306	3237.75	3640.25	3306	3321.25	3997.5	5220	4405	4405	3008	2933	3272	3368	3268.5	3680.5	3368	3361	4106	5371.75	5126	5126	3028.5	2963	3317	3423	3317.5	3734	3423	3403.5	4226	5644	5126	5126	3141	3071	3481	3574	3461	3925	3574	3539	4603	5206.28	4650.14	4585.25	3006.45	2935.86	3280.27	3367.26	3277.15	3688.1	3367.26	3361.5	4124.77
90	6083	4955	4144	3353	3247	3585	3675	3612	4033	3675	3636	4337	6412.25	4955	4955	3405	3321.75	3711.25	3778.75	3704	4166.75	3778.75	3815	4587.75	6555.5	4955	4955	3432.5	3353.5	3746.5	3827.5	3751	4217	3827.5	3845.5	4716	6756.5	5766	5766	3469.5	3384	3777.25	3890.25	3803.25	4259.75	3890.25	3895.25	4779.25	7340	6577	6577	3552	3507	3961	4007	3963	4413	4007	4057	5174	6587.29	5336.17	5287.51	3436.78	3356.59	3743.94	3834.07	3753.92	4214.56	3834.07	3854.4	4692.73
100	7206	5505	5505	3797	3669	4092	4055	4080	4550	4055	4214	4930	7784.5	5505	5505	3859	3733.75	4184.75	4249.75	4191	4713.75	4249.75	4292.25	5200	7957.5	6406	5505	3878	3765	4221	4323	4237.5	4761	4323	4340	5318.5	8114	6406	6406	3908.5	3833.5	4267.25	4382.75	4278.5	4815	4382.75	4392.5	5477.5	8925	7307	7307	3972	3931	4388	4500	4434	4963	4500	4533	5755	7987.9	6063.62	5955.5	3882.36	3779.28	4224.73	4316.62	4235	4764.19	4316.62	4345.05	5332.84
