States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.000024	0.000037	0.00005	0.000031	0.00004	0.000055	0.000033	0.000043	0.000058	0.000035	0.00004725	0.00006125	0.000053	0.000074	0.000076	0.00003338	0.00004538	0.00005893
20	0.000054	0.000087	0.000184	0.000057	0.000097	0.000208	0.000058	0.000106	0.000216	0.00006	0.00011225	0.000226	0.000093	0.00014	0.000263	0.00005961	0.00010534	0.0002166
30	0.000104	0.000164	0.000349	0.000114	0.000183	0.000374	0.000117	0.00019	0.000382	0.00012725	0.000203	0.00039225	0.000159	0.000226	0.000416	0.0001217	0.00019236	0.00038362
40	0.000171	0.000243	0.000605	0.00018	0.000273	0.00063275	0.0001835	0.000283	0.000647	0.00019125	0.000294	0.00065925	0.000247	0.000332	0.000721	0.00018713	0.00028426	0.00064597
50	0.000256	0.000356	0.000911	0.000262	0.00037875	0.00093975	0.00027	0.000389	0.0009525	0.000279	0.000399	0.0009685	0.000329	0.000423	0.001027	0.00027163	0.00038917	0.00095593
60	0.000358	0.000494	0.001287	0.000373	0.00052575	0.00133875	0.000382	0.0005395	0.00136	0.00039325	0.000554	0.00137725	0.000483	0.000599	0.001456	0.00038619	0.00053963	0.00136012
70	0.000464	0.000605	0.001715	0.000482	0.00066	0.00178825	0.000489	0.000677	0.001823	0.00050375	0.00070025	0.001854	0.000621	0.000753	0.001971	0.00049692	0.00068013	0.00182342
80	0.000646	0.000791	0.002285	0.000671	0.000836	0.00234025	0.000691	0.0008555	0.0023785	0.0007215	0.000877	0.00241925	0.000824	0.000975	0.002599	0.00070118	0.00085722	0.00238458
90	0.000854	0.001003	0.002801	0.000876	0.0010455	0.00285	0.000888	0.001063	0.002894	0.000902	0.001086	0.00293575	0.001032	0.006805	0.003089	0.00089089	0.00112249	0.00290294
100	0.001002	0.001173	0.003467	0.00103275	0.001227	0.00360475	0.0010555	0.001261	0.0036515	0.0010755	0.00128	0.0036985	0.001244	0.001376	0.003898	0.00106176	0.00125533	0.00365771
150	0.002181	0.002449	0.00784	0.0024425	0.0026185	0.0081645	0.002522	0.002712	0.008298	0.00260625	0.0028225	0.008457	0.003611	0.00329	0.008778	0.00256178	0.00272907	0.00831129
200	0.004007	0.004145	0.014324	0.00413925	0.004319	0.014695	0.00418	0.0043915	0.014811	0.00425225	0.0044755	0.01492325	0.005157	0.005498	0.015227	0.00421554	0.00442845	0.01480479
300	0.009096	0.009454	0.032701	0.0102095	0.01006325	0.03330925	0.011066	0.0107925	0.033617	0.0124305	0.01202225	0.0341565	0.01843	0.013936	0.046817	0.01134939	0.01110454	0.03396231
400	0.019421	0.020597	0.060783	0.021934	0.022667	0.062396	0.0224755	0.0233795	0.063641	0.0228655	0.02413775	0.06508725	0.029101	0.030638	0.073049	0.02253313	0.02351994	0.06419995
600	0.049536	0.048064	0.140484	0.05256075	0.052297	0.1558455	0.0544115	0.054691	0.1621575	0.057721	0.0569995	0.16705	0.091249	0.106237	0.245005	0.05720035	0.05668931	0.16605501
800	0.084711	0.082835	0.267124	0.089468	0.08723825	0.29954125	0.091585	0.0895205	0.3061665	0.09431525	0.09219325	0.31198075	0.117719	0.110838	0.331557	0.09351174	0.09029807	0.30386339
1000	0.130043	0.125448	0.409339	0.135137	0.1311165	0.46077375	0.137303	0.1341105	0.4687745	0.13917175	0.1364	0.472753	0.144275	0.146033	0.480748	0.13711767	0.13378448	0.46080699
