States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	48	48	58	50	48	58	52	51	62	56	54	64	64	66	84	52.74	52.16	62.34	26.25	25.65	11.01
20	138	136	156	142	140	160	146	142	162	150	146	168	178	176	194	147.04	143.52	163.94	73.38	71.04	23.29
30	240	240	272	248	247.5	278	254	252	282	260	258	292	312	296	368	255.14	253.74	286.96	127.01	125.16	39.69
40	356	358	398	368	366	408	372	370	416	380	378	434	418	434	510	374.76	373.42	423.22	186.41	184.08	54.41
50	480	482	532	491.5	490	546	498	496	558	508	504	580	542	552	708	499.68	498.5	567.56	248.52	245.32	70.33
60	608	608	672	624	622	692	631	628	705	640	636	727	696	690	1130	633.42	631.26	715.28	314.49	309.49	83.09
70	740	742	814	758	756	834	766	764	850	774	772	874	822	830	1004	767.74	765.26	860.52	381.46	376.12	98.06
80	876	878	960	896	894	990	904	902	1004	914	914	1024	972	980	1234	906.98	905.5	1014.52	450.46	445.98	113.46
90	1024	1024	1120	1043.5	1038	1148	1054	1044	1158	1064	1054	1180.5	1116	1108	1284	1054.86	1047.22	1168.16	523.24	510.85	128
100	1168	1172	1270	1190	1184	1300	1200	1194	1320	1210.5	1202.5	1348.5	1242	1236	1484	1200.8	1196.14	1331.1	594.91	586.35	141.12
150	1936	1932	2104	1964	1956	2138	1976	1968	2161	1988	1982	2190	2046	2038	2380	1976.14	1970.18	2169.34	976.93	962.35	218.46
200	2758	2750	2970	2788	2780	3017.5	2800	2793	3044	2812.5	2802.5	3086.5	2854	2842	3304	2801.5	2791.76	3054.72	1381.12	1359.81	295.97
300	4492	4488	4812	4534	4527	4905.5	4553	4542	4936	4566.5	4562	4978.5	4638	4618	5476	4554.72	4545.62	4949.46	2230.05	2194.09	448.6
400	6332	6318	6744	6383.5	6372	6871.5	6398	6391	6905	6424	6414	6992.5	6484	6502	7260	6401.66	6394.76	6935.96	3120.59	3082.42	603.24
600	10218	10222	10894	10294	10286	11030	10316	10311	11110	10342	10344.5	11176	10424	10420	11496	10317.84	10315.82	11110.34	4984.79	4930.12	912.57
800	14318	14336	15264	14410	14403	15386.5	14442	14440	15451	14470.5	14478	15524.5	14564	14550	15750	14440.88	14440.32	15464.58	6915.48	6834.5	1225.21
1000	18618	18612	19762	18705.5	18702	19919.5	18749	18739	20010	18782	18773	20104.5	18920	18992	20518	18741.58	18740.96	20018.62	8891.16	8802.86	1537.76
