States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	18	17	24	21	19	28	22	22	30	25	22	30	31	31	38	22.65	21.63	29.62	12.33	11.82	10
20	54	48	68	62	58	78	66	63	82	70.25	67.25	88	86	86	106	66.77	63.25	83.54	33.54	31.78	20.06
30	90	90	116	106	102	130	112	107	138	118	114	144	142	137	174	112.79	108.01	138.66	56.43	54.04	30.12
40	148	140	180	158	154	196	166	160	201	172.5	166	208	194	188	230	166.23	161.11	202	83.12	80.56	40.67
50	196	194	244	210	208	258	218	212	264	224	218.5	272	250	240	300	218.48	213.58	265.72	109.24	106.79	50.97
60	252	246	308	270	265.5	324	276	272	330	282	276	338	306	298	364	276.12	271.36	331.12	138.06	135.68	61.53
70	310	306	374	325.5	324	392	334	331	400	344.5	338	412	366	360	450	334.84	331.46	402.3	167.42	165.73	72.27
80	364	360	446	386	382	464	394	390	472	404	400	484	432	414	520	394.9	389.94	474.42	197.45	194.97	82.79
90	430	414	506	450	446	535.5	458	454	546	466	462	556	492	482	588	458.38	452.88	545.96	229.19	226.44	93.16
100	482	482	582	507.5	508	610	519	516	621	530.5	524	634	564	544	680	519.32	515.92	620.98	259.66	257.96	104.44
150	804	806	968	841.5	838	994	851	848	1007	864.5	858	1020.5	900	904	1090	852.68	848.38	1009.88	426.34	424.19	161
200	1164	1144	1372	1199.5	1190	1407.5	1212	1205	1428	1223	1218	1444	1292	1272	1510	1212.04	1204.18	1428.92	606.02	602.09	218.44
300	1908	1912	2230	1946	1942	2282	1960	1961	2306	1976	1978	2330	2012	2016	2406	1961.14	1961.32	2307.3	980.57	980.66	338.04
400	2704	2706	3158	2740	2738	3205.5	2757	2754	3231	2774.5	2776	3254	2818	2816	3390	2757.58	2755.6	3235.06	1378.79	1377.8	457.17
600	4370	4348	5084	4421.5	4414	5140	4444	4440	5170	4466	4460	5194.5	4524	4534	5306	4445.62	4437.72	5172.96	2222.81	2218.54	698.14
800	6100	6108	7058	6157.5	6161.5	7146	6184	6187	7182	6218	6218	7232	6284	6282	7306	6188.42	6190.62	7184.14	3094.19	3095.29	937.17
1000	7926	7900	9102	7995.5	7985.5	9223	8018	8010	9265	8048.5	8042	9312	8142	8132	9510	8023.54	8013.28	9266.2	4011.77	4006.18	1176.75
