States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	17	17	24	19	19	27.75	22	22	28	23	23	30	31	31	33	21.88	21.7	28.08	11.93	11.84	10
20	52	51	65	59	58	69.75	63	63	73	66	66	76	76	74	81	62.84	62.22	72.68	31.61	31.3	20
30	90	90	107	104	104	117	110	108	120.5	114	112	124	128	126	137	109.58	108.66	120.64	54.83	54.37	30
40	142	140	154	156	156	167	160	160	171	166	166	176	186	180	187	161.36	160.74	171.39	80.68	80.37	40
50	196	198	212	208	207.5	219	214	213	224	222	220	229.25	242	238	242	214.96	213.88	224.36	107.48	106.94	50
60	244	242	257	264	262	273.75	268	268	279	276.5	276	285.25	296	300	308	269.84	269.04	279.69	134.92	134.52	60
70	310	306	303	322	322	328.75	330	329	334.5	336.5	336.5	342.5	358	366	364	330.38	329.6	335.41	165.19	164.8	70
80	362	366	360	384	382	385.5	390	389	394.5	398	396	400	418	418	427	391.26	390.02	393.57	195.63	195.01	80
90	428	420	425	446	444	443.75	452	452	452	462	460	462	482	490	479	453.86	452.5	452.76	226.93	226.25	90
100	488	486	484	508	506	504	518	518	511.5	528	526	519	550	550	543	516.6	515.94	511.58	258.3	257.97	100
150	814	812	796	836	837.5	820	848	848	829	860	858	840	902	902	891	848.6	847.86	830.97	424.3	423.93	150
200	1160	1172	1134	1196	1197.5	1158	1208	1208	1169	1220	1220	1177.25	1248	1242	1201	1207.58	1207.66	1168.26	603.79	603.83	200.1
300	1908	1910	1833	1946	1944	1867.5	1958	1956	1875.5	1974	1972.5	1886	2008	2014	1928	1959.78	1958.1	1876.26	979.89	979.05	300.4
400	2700	2684	2568	2734	2738	2592.5	2753	2758	2609	2768	2772	2625.25	2814	2828	2650	2752.5	2755.96	2608.25	1376.24	1377.97	401.57
600	4344	4350	4059	4408	4408	4108.5	4435	4429	4124	4454	4446.5	4144.25	4530	4510	4207	4431.74	4426.76	4125.95	2215.87	2213.38	605.5
800	6110	6080	5600	6173.5	6163.5	5673.75	6194	6186	5689.5	6218	6216.5	5713.25	6300	6280	5784	6197.2	6189.62	5692.8	3098.6	3094.81	810.17
1000	7924	7926	7191	7985.5	7988	7287.75	8015	8016	7312	8042.5	8044	7330.75	8112	8094	7404	8015.96	8014.56	7311.27	4007.95	4007.26	1015.35
