FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
1	1000	5	5	3962	7996	0.135049	ShortestSeparatingSequences	0	DFSM_R1000_5.fsm
1	1000	5	5	3949	7978	0.143936	SeparatingSequencesFromSplittingTree	1	DFSM_R1000_5.fsm
1	1000	5	5	1014	7391	0.501250	SplittingTreeBased	2	DFSM_R1000_5.fsm
1	1000	5	5	3962	8021	0.138914	ShortestSeparatingSequences	0	DFSM_R1000_5_htmyx.fsm
1	1000	5	5	3948	7989	0.141988	SeparatingSequencesFromSplittingTree	1	DFSM_R1000_5_htmyx.fsm
1	1000	5	5	1028	7357	0.501334	SplittingTreeBased	2	DFSM_R1000_5_htmyx.fsm
1	1000	5	5	3958	8003	0.141175	ShortestSeparatingSequences	0	DFSM_R1000_5_w0XaX.fsm
1	1000	5	5	3971	8030	0.136624	SeparatingSequencesFromSplittingTree	1	DFSM_R1000_5_w0XaX.fsm
1	1000	5	5	1024	7339	0.510823	SplittingTreeBased	2	DFSM_R1000_5_w0XaX.fsm
1	1000	5	5	3940	7924	0.143500	ShortestSeparatingSequences	0	DFSM_R1000_5_Rnhl8.fsm
1	1000	5	5	3931	7906	0.139377	SeparatingSequencesFromSplittingTree	1	DFSM_R1000_5_Rnhl8.fsm
1	1000	5	5	1036	7301	0.507320	SplittingTreeBased	2	DFSM_R1000_5_Rnhl8.fsm
1	1000	5	5	3959	7969	0.139409	ShortestSeparatingSequences	0	DFSM_R1000_5_3Yuw7.fsm
1	1000	5	5	3974	7995	0.144819	SeparatingSequencesFromSplittingTree	1	DFSM_R1000_5_3Yuw7.fsm
1	1000	5	5	1014	7335	0.508077	SplittingTreeBased	2	DFSM_R1000_5_3Yuw7.fsm
1	1000	5	5	3930	7945	0.137953	ShortestSeparatingSequences	0	DFSM_R1000_5_1C79u.fsm
1	1000	5	5	3921	7929	0.148004	SeparatingSequencesFromSplittingTree	1	DFSM_R1000_5_1C79u.fsm
1	1000	5	5	1016	7408	0.507650	SplittingTreeBased	2	DFSM_R1000_5_1C79u.fsm
1	1000	5	5	3933	7954	0.137178	ShortestSeparatingSequences	0	DFSM_R1000_5_DGz5A.fsm
1	1000	5	5	3914	7914	0.142680	SeparatingSequencesFromSplittingTree	1	DFSM_R1000_5_DGz5A.fsm
