States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	10	10	10	10	10	10	12	12	10	12	12	10	16	16	10	11.94	11.84	10
20	26	24	20	30	29	20	32	31	20	33	33	20	38	40	20	31.59	31.21	20
30	44	44	30	51	51	30	54	54	30	56	56	30	63	63	30	53.85	53.51	30
40	70	69	40	77	76	40	79	79	40	83	82	40	91	89	40	79.81	79.03	40
50	91	98	50	104.75	104	50	107	106	50	110	110	50	123	121	50	107.17	106.82	50
60	123	121	60	132	132	60	135	134.5	60	139	139	60	151	148	62	135.49	135.2	60.06
70	155	155	70	162	161	70	165	164	70	168	168	70	183	182	72	165.22	164.82	70.02
80	182	182	80	191	190	80	194	195	80	198	198	80	212	210	82	194.81	194.24	80.04
90	214	214	90	224	223	90	228	227	90	231	231	90	246	240	92	227.55	227.06	90.06
100	241	245	100	253	251	100	256	256	100	264	263	100	280	274	102	258.22	257.42	100.04
150	401	406	150	419	418	150	424	423.5	150	429.25	429	150	448	441	154	424.26	423.28	150.3
200	576	579	200	593	593	200	599.5	597	200	605	603	202	628	626	204	598.96	597.93	200.72
300	951	951	300	967	965	300	974	974	302	982.25	983	304	1001	1002	308	974.79	974.22	301.93
400	1344	1334	400	1357.75	1354.75	402	1366.5	1365.5	404	1378	1374	406	1403	1398	412	1367.28	1364.88	404.03
600	2154	2151	602	2186	2179.75	606	2194.5	2193.5	608	2205.25	2205	612	2241	2242	622	2196.19	2192.7	609.04
800	3016	3008	806	3045.75	3042.75	812	3060	3055.5	814	3072.25	3068.25	818	3095	3101	827	3058.47	3054.98	815.01
1000	3909	3901	1010	3936	3931.75	1016	3947.5	3944	1022	3962	3953	1026	4018	3998	1038	3948.59	3943.55	1021.77
