FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
1	600	5	5	2186	4408	0.045109	ShortestSeparatingSequences	0	DFSM_R600_5_TouEh.fsm
1	600	5	5	2171	4376	0.046349	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_TouEh.fsm
1	600	5	5	608	4177	0.167231	SplittingTreeBased	2	DFSM_R600_5_TouEh.fsm
1	600	5	5	2186	4398	0.046706	ShortestSeparatingSequences	0	DFSM_R600_5_C16gq.fsm
1	600	5	5	2194	4416	0.045538	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_C16gq.fsm
1	600	5	5	610	4119	0.167932	SplittingTreeBased	2	DFSM_R600_5_C16gq.fsm
1	600	5	5	2186	4392	0.046081	ShortestSeparatingSequences	0	DFSM_R600_5_WlRLi.fsm
1	600	5	5	2202	4422	0.053462	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_WlRLi.fsm
1	600	5	5	608	4068	0.165957	SplittingTreeBased	2	DFSM_R600_5_WlRLi.fsm
1	600	5	5	2212	4452	0.045877	ShortestSeparatingSequences	0	DFSM_R600_5_Anf0x.fsm
1	600	5	5	2210	4442	0.046155	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_Anf0x.fsm
1	600	5	5	612	4133	0.167992	SplittingTreeBased	2	DFSM_R600_5_Anf0x.fsm
1	600	5	5	2212	4460	0.045978	ShortestSeparatingSequences	0	DFSM_R600_5_Y4ceE.fsm
1	600	5	5	2218	4468	0.043925	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_Y4ceE.fsm
1	600	5	5	612	4166	0.168906	SplittingTreeBased	2	DFSM_R600_5_Y4ceE.fsm
1	600	5	5	2202	4420	0.046970	ShortestSeparatingSequences	0	DFSM_R600_5_hxSdZ.fsm
1	600	5	5	2166	4348	0.046697	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_hxSdZ.fsm
1	600	5	5	602	4126	0.167672	SplittingTreeBased	2	DFSM_R600_5_hxSdZ.fsm
1	600	5	5	2215	4460	0.055402	ShortestSeparatingSequences	0	DFSM_R600_5_PTizG.fsm
1	600	5	5	2209	4450	0.046687	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_PTizG.fsm
1	600	5	5	612	4146	0.168760	SplittingTreeBased	2	DFSM_R600_5_PTizG.fsm
1	600	5	5	2192	4408	0.049738	ShortestSeparatingSequences	0	DFSM_R600_5_BxMHu.fsm
1	600	5	5	2197	4420	0.046973	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_BxMHu.fsm
1	600	5	5	604	4141	0.172672	SplittingTreeBased	2	DFSM_R600_5_BxMHu.fsm
1	600	5	5	2190	4414	0.045955	ShortestSeparatingSequences	0	DFSM_R600_5_yBctf.fsm
1	600	5	5	2190	4410	0.045685	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_yBctf.fsm
1	600	5	5	610	4094	0.167233	SplittingTreeBased	2	DFSM_R600_5_yBctf.fsm
1	600	5	5	2196	4422	0.046995	ShortestSeparatingSequences	0	DFSM_R600_5_uofpC.fsm
1	600	5	5	2185	4400	0.047489	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_uofpC.fsm
1	600	5	5	612	4132	0.175984	SplittingTreeBased	2	DFSM_R600_5_uofpC.fsm
1	600	5	5	2213	4444	0.046556	ShortestSeparatingSequences	0	DFSM_R600_5_kN1rr.fsm
1	600	5	5	2193	4404	0.046817	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_kN1rr.fsm
1	600	5	5	612	4129	0.168727	SplittingTreeBased	2	DFSM_R600_5_kN1rr.fsm
1	600	5	5	2199	4420	0.046980	ShortestSeparatingSequences	0	DFSM_R600_5_1BtIN.fsm
1	600	5	5	2187	4402	0.045175	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_1BtIN.fsm
1	600	5	5	612	4139	0.169655	SplittingTreeBased	2	DFSM_R600_5_1BtIN.fsm
1	600	5	5	2199	4422	0.046722	ShortestSeparatingSequences	0	DFSM_R600_5_VqY0v.fsm
1	600	5	5	2196	4412	0.044033	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_VqY0v.fsm
1	600	5	5	606	4117	0.169046	SplittingTreeBased	2	DFSM_R600_5_VqY0v.fsm
1	600	5	5	2204	4434	0.043441	ShortestSeparatingSequences	0	DFSM_R600_5_4vDMo.fsm
1	600	5	5	2170	4368	0.046237	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_4vDMo.fsm
1	600	5	5	612	4110	0.175967	SplittingTreeBased	2	DFSM_R600_5_4vDMo.fsm
1	600	5	5	2181	4384	0.047689	ShortestSeparatingSequences	0	DFSM_R600_5_gD2Ld.fsm
1	600	5	5	2171	4362	0.047711	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_gD2Ld.fsm
1	600	5	5	614	4161	0.169789	SplittingTreeBased	2	DFSM_R600_5_gD2Ld.fsm
1	600	5	5	2203	4427	0.047069	ShortestSeparatingSequences	0	DFSM_R600_5_Cyj4n.fsm
1	600	5	5	2207	4439	0.046241	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_Cyj4n.fsm
1	600	5	5	608	4101	0.168709	SplittingTreeBased	2	DFSM_R600_5_Cyj4n.fsm
1	600	5	5	2178	4380	0.047814	ShortestSeparatingSequences	0	DFSM_R600_5_Jd1wS.fsm
1	600	5	5	2189	4406	0.047353	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_Jd1wS.fsm
1	600	5	5	606	4086	0.169029	SplittingTreeBased	2	DFSM_R600_5_Jd1wS.fsm
1	600	5	5	2221	4466	0.046721	ShortestSeparatingSequences	0	DFSM_R600_5_r2dIO.fsm
1	600	5	5	2221	4468	0.054071	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_r2dIO.fsm
1	600	5	5	604	4116	0.170133	SplittingTreeBased	2	DFSM_R600_5_r2dIO.fsm
1	600	5	5	2204	4426	0.046614	ShortestSeparatingSequences	0	DFSM_R600_5_UoJu8.fsm
1	600	5	5	2174	4397	0.047251	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_UoJu8.fsm
1	600	5	5	608	4146	0.170957	SplittingTreeBased	2	DFSM_R600_5_UoJu8.fsm
1	600	5	5	2186	4394	0.046672	ShortestSeparatingSequences	0	DFSM_R600_5_YANm7.fsm
1	600	5	5	2176	4374	0.045886	SeparatingSequencesFromSplittingTree	1	DFSM_R600_5_YANm7.fsm
1	600	5	5	606	4162	0.171786	SplittingTreeBased	2	DFSM_R600_5_YANm7.fsm
