States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	22	19	10	24	23	10	25	24	12	26	25	12	34	29	18	25.27	24.08	11.57
20	58	57	20	66	63	24	67	66	26	70	68	28	83	76	33	67.71	65.7	26.04
30	107	99	32	114	110	38	116	113	41	119	116	44	145	123	52	116.53	113.02	40.78
40	156	146	44	165	157	51	167	161	56	170.25	166	60	188	175	72	167.73	161.25	55.68
50	204	189	58	217	208	68	220	214	71.5	224	220.25	75	247	230	86	220.55	214.01	71.66
60	260	247	76	271.75	261.5	82	275	268	87.5	279	274	90.25	287	300	107	275.04	267.78	86.78
70	317	293	87	327	319	96	330	324.5	101	334	330	105	362	349	114	330.88	324.39	100.86
80	370	347	102	382	371.75	111.75	386	378	115	392	384	119	409	402	127	387.11	378.57	114.93
90	428	411	109	441	430	125.75	445	438	130.5	449.25	445	135	463	464	149	444.88	437.55	130.5
100	485	459	128	497	488.75	142	501	498	146	507	505.5	152	553	533	170	502.58	497.89	146.69
150	789	747	202	801	788.75	218.75	809	804	224	815	816	231	846	863	246	808.84	803.66	224.63
200	1113	1072	267	1130	1119	293	1137	1138	300.5	1148.25	1154	308	1199	1191	329	1139.78	1136.96	300.04
300	1834	1743	422	1862.75	1809.5	445	1871.5	1829	456	1890	1853.25	465.25	1951	1913	486	1875.81	1830.57	455.44
400	2640	2453	579	2681.5	2549.5	599	2694.5	2586.5	607.5	2710.75	2610	616	2752	2655	648	2696.74	2582.41	607.65
600	4499	3951	878	4549.75	4061.5	906	4577	4115.5	924.5	4603.25	4159	935	4672	4244	975	4580.11	4108.89	922.4
800	6596	5518	1186	6666	5696.75	1217.75	6697	5739	1235	6735	5784	1253	6849	5956	1290	6700.38	5741.91	1235.94
1000	8890	7202	1493	8975.25	7337	1527	9015.5	7407	1545	9051.75	7464.5	1561.25	9169	7624	1623	9016.72	7401.14	1545.45
