FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
3	200	5	5	599	1206	0.005500	ShortestSeparatingSequences	0	Moore_R200_5.fsm
3	200	5	5	589	1186	0.006038	SeparatingSequencesFromSplittingTree	1	Moore_R200_5.fsm
3	200	5	5	227	1400	0.021851	SplittingTreeBased	2	Moore_R200_5.fsm
3	200	5	5	597	1206	0.005450	ShortestSeparatingSequences	0	Moore_R200_5_RroW6.fsm
3	200	5	5	602	1216	0.005156	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_RroW6.fsm
3	200	5	5	227	1408	0.018593	SplittingTreeBased	2	Moore_R200_5_RroW6.fsm
3	200	5	5	621	1254	0.004986	ShortestSeparatingSequences	0	Moore_R200_5_ztkNm.fsm
3	200	5	5	621	1254	0.005463	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_ztkNm.fsm
3	200	5	5	232	1468	0.019269	SplittingTreeBased	2	Moore_R200_5_ztkNm.fsm
3	200	5	5	599	1206	0.005746	ShortestSeparatingSequences	0	Moore_R200_5_rUveD.fsm
3	200	5	5	597	1202	0.005901	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_rUveD.fsm
3	200	5	5	217	1430	0.019126	SplittingTreeBased	2	Moore_R200_5_rUveD.fsm
3	200	5	5	605	1218	0.005289	ShortestSeparatingSequences	0	Moore_R200_5_DGdTg.fsm
3	200	5	5	607	1222	0.005701	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_DGdTg.fsm
3	200	5	5	213	1412	0.019096	SplittingTreeBased	2	Moore_R200_5_DGdTg.fsm
3	200	5	5	606	1212	0.005003	ShortestSeparatingSequences	0	Moore_R200_5_zddAN.fsm
3	200	5	5	622	1244	0.005389	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_zddAN.fsm
3	200	5	5	231	1490	0.019455	SplittingTreeBased	2	Moore_R200_5_zddAN.fsm
3	200	5	5	598	1204	0.005141	ShortestSeparatingSequences	0	Moore_R200_5_ImrV9.fsm
3	200	5	5	592	1192	0.005256	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_ImrV9.fsm
3	200	5	5	234	1410	0.018543	SplittingTreeBased	2	Moore_R200_5_ImrV9.fsm
3	200	5	5	614	1228	0.004954	ShortestSeparatingSequences	0	Moore_R200_5_PKLPt.fsm
3	200	5	5	592	1184	0.005154	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_PKLPt.fsm
3	200	5	5	225	1432	0.018904	SplittingTreeBased	2	Moore_R200_5_PKLPt.fsm
3	200	5	5	588	1176	0.004883	ShortestSeparatingSequences	0	Moore_R200_5_7jmZP.fsm
3	200	5	5	587	1174	0.005317	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_7jmZP.fsm
3	200	5	5	234	1418	0.018569	SplittingTreeBased	2	Moore_R200_5_7jmZP.fsm
3	200	5	5	594	1188	0.004977	ShortestSeparatingSequences	0	Moore_R200_5_y772H.fsm
3	200	5	5	601	1202	0.005224	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_y772H.fsm
3	200	5	5	217	1438	0.019002	SplittingTreeBased	2	Moore_R200_5_y772H.fsm
3	200	5	5	597	1198	0.005115	ShortestSeparatingSequences	0	Moore_R200_5_HGJp0.fsm
3	200	5	5	591	1186	0.005369	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_HGJp0.fsm
3	200	5	5	234	1438	0.018738	SplittingTreeBased	2	Moore_R200_5_HGJp0.fsm
3	200	5	5	602	1208	0.005013	ShortestSeparatingSequences	0	Moore_R200_5_VEnDy.fsm
3	200	5	5	583	1170	0.005279	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_VEnDy.fsm
3	200	5	5	223	1420	0.018796	SplittingTreeBased	2	Moore_R200_5_VEnDy.fsm
3	200	5	5	597	1202	0.005031	ShortestSeparatingSequences	0	Moore_R200_5_8IJGj.fsm
3	200	5	5	597	1202	0.005145	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_8IJGj.fsm
3	200	5	5	220	1412	0.019346	SplittingTreeBased	2	Moore_R200_5_8IJGj.fsm
3	200	5	5	627	1262	0.005407	ShortestSeparatingSequences	0	Moore_R200_5_FLQQr.fsm
3	200	5	5	604	1234	0.005552	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_FLQQr.fsm
3	200	5	5	225	1474	0.019289	SplittingTreeBased	2	Moore_R200_5_FLQQr.fsm
3	200	5	5	600	1200	0.005042	ShortestSeparatingSequences	0	Moore_R200_5_JQa2X.fsm
3	200	5	5	585	1170	0.005097	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_JQa2X.fsm
3	200	5	5	212	1390	0.018607	SplittingTreeBased	2	Moore_R200_5_JQa2X.fsm
3	200	5	5	585	1174	0.004904	ShortestSeparatingSequences	0	Moore_R200_5_VoZiD.fsm
3	200	5	5	592	1188	0.005115	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_VoZiD.fsm
3	200	5	5	230	1484	0.019248	SplittingTreeBased	2	Moore_R200_5_VoZiD.fsm
3	200	5	5	605	1222	0.004897	ShortestSeparatingSequences	0	Moore_R200_5_Y2CIh.fsm
3	200	5	5	597	1206	0.005597	SeparatingSequencesFromSplittingTree	1	Moore_R200_5_Y2CIh.fsm
3	200	5	5	229	1488	0.019269	SplittingTreeBased	2	Moore_R200_5_Y2CIh.fsm
3	200	5	5	604	1208	0.004956	ShortestSeparatingSequences	0	Moore_R200_5_ZeIZ8.fsm
