FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
1	20	5	5	33	66	0.000098	ShortestSeparatingSequences	0	DFSM_R20_5.fsm
1	20	5	5	31	62	0.000117	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5.fsm
1	20	5	5	20	75	0.000201	SplittingTreeBased	2	DFSM_R20_5.fsm
1	20	5	5	32	64	0.000067	ShortestSeparatingSequences	0	DFSM_R20_5_D2ix0.fsm
1	20	5	5	32	64	0.000093	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_D2ix0.fsm
1	20	5	5	20	76	0.000198	SplittingTreeBased	2	DFSM_R20_5_D2ix0.fsm
1	20	5	5	36	71	0.000067	ShortestSeparatingSequences	0	DFSM_R20_5_ptMAR.fsm
1	20	5	5	36	71	0.000094	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_ptMAR.fsm
1	20	5	5	20	80	0.000202	SplittingTreeBased	2	DFSM_R20_5_ptMAR.fsm
1	20	5	5	29	58	0.000057	ShortestSeparatingSequences	0	DFSM_R20_5_ZQDcF.fsm
1	20	5	5	29	58	0.000082	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_ZQDcF.fsm
1	20	5	5	20	71	0.000180	SplittingTreeBased	2	DFSM_R20_5_ZQDcF.fsm
1	20	5	5	32	64	0.000063	ShortestSeparatingSequences	0	DFSM_R20_5_OiWFu.fsm
1	20	5	5	32	64	0.000084	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_OiWFu.fsm
1	20	5	5	20	72	0.000181	SplittingTreeBased	2	DFSM_R20_5_OiWFu.fsm
1	20	5	5	30	60	0.000060	ShortestSeparatingSequences	0	DFSM_R20_5_dHecP.fsm
1	20	5	5	30	60	0.000085	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_dHecP.fsm
1	20	5	5	20	70	0.000180	SplittingTreeBased	2	DFSM_R20_5_dHecP.fsm
1	20	5	5	38	74	0.000065	ShortestSeparatingSequences	0	DFSM_R20_5_haony.fsm
1	20	5	5	38	74	0.000097	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_haony.fsm
1	20	5	5	20	83	0.000206	SplittingTreeBased	2	DFSM_R20_5_haony.fsm
1	20	5	5	31	61	0.000059	ShortestSeparatingSequences	0	DFSM_R20_5_P14cf.fsm
1	20	5	5	30	59	0.000090	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_P14cf.fsm
1	20	5	5	20	72	0.000189	SplittingTreeBased	2	DFSM_R20_5_P14cf.fsm
1	20	5	5	31	61	0.000058	ShortestSeparatingSequences	0	DFSM_R20_5_cIjdW.fsm
1	20	5	5	30	59	0.000085	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_cIjdW.fsm
1	20	5	5	20	70	0.000180	SplittingTreeBased	2	DFSM_R20_5_cIjdW.fsm
1	20	5	5	31	62	0.000059	ShortestSeparatingSequences	0	DFSM_R20_5_FhTuS.fsm
1	20	5	5	31	62	0.000084	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_FhTuS.fsm
1	20	5	5	20	71	0.000182	SplittingTreeBased	2	DFSM_R20_5_FhTuS.fsm
1	20	5	5	35	69	0.000061	ShortestSeparatingSequences	0	DFSM_R20_5_Mhkje.fsm
1	20	5	5	36	71	0.000095	SeparatingSequencesFromSplittingTree	1	DFSM_R20_5_Mhkje.fsm
1	20	5	5	20	84	0.000207	SplittingTreeBased	2	DFSM_R20_5_Mhkje.fsm
