FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
3	300	5	5	960	1928	0.012179	ShortestSeparatingSequences	0	Moore_R300_5.fsm
3	300	5	5	953	1914	0.011413	SeparatingSequencesFromSplittingTree	1	Moore_R300_5.fsm
3	300	5	5	340	2290	0.043991	SplittingTreeBased	2	Moore_R300_5.fsm
3	300	5	5	961	1930	0.009177	ShortestSeparatingSequences	0	Moore_R300_5_Os7cp.fsm
3	300	5	5	993	1994	0.009567	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_Os7cp.fsm
3	300	5	5	354	2338	0.044358	SplittingTreeBased	2	Moore_R300_5_Os7cp.fsm
3	300	5	5	965	1934	0.009172	ShortestSeparatingSequences	0	Moore_R300_5_uocsw.fsm
3	300	5	5	958	1920	0.009576	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_uocsw.fsm
3	300	5	5	337	2296	0.044266	SplittingTreeBased	2	Moore_R300_5_uocsw.fsm
3	300	5	5	997	2002	0.009686	ShortestSeparatingSequences	0	Moore_R300_5_AN5eG.fsm
3	300	5	5	989	1986	0.009702	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_AN5eG.fsm
3	300	5	5	331	2364	0.045656	SplittingTreeBased	2	Moore_R300_5_AN5eG.fsm
3	300	5	5	982	1968	0.011870	ShortestSeparatingSequences	0	Moore_R300_5_OZU8e.fsm
3	300	5	5	963	1930	0.012235	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_OZU8e.fsm
3	300	5	5	331	2326	0.045062	SplittingTreeBased	2	Moore_R300_5_OZU8e.fsm
3	300	5	5	964	1932	0.009712	ShortestSeparatingSequences	0	Moore_R300_5_E7lgi.fsm
3	300	5	5	967	1938	0.009785	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_E7lgi.fsm
3	300	5	5	357	2330	0.044106	SplittingTreeBased	2	Moore_R300_5_E7lgi.fsm
3	300	5	5	980	1960	0.009723	ShortestSeparatingSequences	0	Moore_R300_5_f2Wf6.fsm
3	300	5	5	975	1950	0.009706	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_f2Wf6.fsm
3	300	5	5	346	2334	0.044781	SplittingTreeBased	2	Moore_R300_5_f2Wf6.fsm
3	300	5	5	984	1980	0.010084	ShortestSeparatingSequences	0	Moore_R300_5_u5j6N.fsm
3	300	5	5	990	1992	0.009795	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_u5j6N.fsm
3	300	5	5	344	2312	0.044358	SplittingTreeBased	2	Moore_R300_5_u5j6N.fsm
3	300	5	5	993	1990	0.010094	ShortestSeparatingSequences	0	Moore_R300_5_QHSIq.fsm
3	300	5	5	966	1936	0.010271	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_QHSIq.fsm
3	300	5	5	355	2318	0.044353	SplittingTreeBased	2	Moore_R300_5_QHSIq.fsm
3	300	5	5	975	1966	0.011667	ShortestSeparatingSequences	0	Moore_R300_5_QAoWA.fsm
3	300	5	5	958	1956	0.010967	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_QAoWA.fsm
3	300	5	5	348	2318	0.044711	SplittingTreeBased	2	Moore_R300_5_QAoWA.fsm
3	300	5	5	975	1970	0.010346	ShortestSeparatingSequences	0	Moore_R300_5_KSDSL.fsm
3	300	5	5	977	1974	0.010419	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_KSDSL.fsm
3	300	5	5	349	2374	0.045538	SplittingTreeBased	2	Moore_R300_5_KSDSL.fsm
3	300	5	5	969	1946	0.011435	ShortestSeparatingSequences	0	Moore_R300_5_gS8vk.fsm
3	300	5	5	965	1938	0.011662	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_gS8vk.fsm
3	300	5	5	338	2310	0.044781	SplittingTreeBased	2	Moore_R300_5_gS8vk.fsm
3	300	5	5	989	1990	0.011885	ShortestSeparatingSequences	0	Moore_R300_5_Opipy.fsm
3	300	5	5	996	2004	0.012291	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_Opipy.fsm
3	300	5	5	348	2350	0.045148	SplittingTreeBased	2	Moore_R300_5_Opipy.fsm
3	300	5	5	973	1954	0.009929	ShortestSeparatingSequences	0	Moore_R300_5_ngz7m.fsm
3	300	5	5	960	1928	0.011978	SeparatingSequencesFromSplittingTree	1	Moore_R300_5_ngz7m.fsm
3	300	5	5	352	2396	0.045917	SplittingTreeBased	2	Moore_R300_5_ngz7m.fsm
