States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2	SeqAvg_0	SeqAvg_1	SeqAvg_2
10	17	17	17	20	20	19	21	21	21	22	22	22.25	26	24	31	20.96	20.79	21.16	20.96	20.79	10.02
20	44	43	44	49.75	49	49	52	50.5	51	53	53	53	58	57	65	51.34	50.82	51.22	51.34	50.82	20.46
30	78	75	75	82	81	82	84	84	85	87	87	87.25	92	93	96	84.42	84.1	84.87	84.42	84.1	31.73
40	112	110	109	119	117	118	120	119	122	123	121	126	134	132	135	120.57	119.37	121.84	120.57	119.37	43.17
50	149	146	145	154	154	156	157	157.5	160	160.25	161	163	173	169	187	157.61	157.58	160.01	157.61	157.58	55.37
60	182	184	184	193	192	194	195	195	198	198	198	204	206	205	227	195.5	195.43	199.49	195.5	195.43	66.54
70	222	216	223	231	230	237	234	234	242	238	238	247	253	250	277	234.4	234.05	242.55	234.4	234.05	79.87
80	264	262	260	270.75	272	277	274	275	283.5	279	278	289.5	293	292	307	275.25	275.04	284.18	275.25	275.04	91.99
90	298	300	307	311	312	319	316	316	324.5	320	319.25	329.25	338	330	343	315.67	315.86	324.67	315.67	315.86	102.99
100	344	342	340	353	353	359	357	356	368	362	361	374	373	370	387	357.9	356.65	367.29	357.9	356.65	115.05
150	556	556	568	569	570	585	572.5	573	594	579	579	602	598	596	631	574.15	573.93	593.52	574.15	573.93	176.42
200	776	776	801	794	794	816	800	800	827	806.25	806	837.25	824	822	868	800.19	800.41	827.78	800.17	800.39	236.41
300	1252	1248	1277	1271.75	1273	1301	1278.5	1279	1313.5	1287	1284	1325	1323	1301	1357	1279.46	1278.46	1313.76	1279.46	1277.88	352.35
400	1750	1743	1778	1769	1770	1809.75	1777	1779	1821	1787.25	1788.25	1835	1819	1811	1868	1778.35	1778.03	1822.05	1778.35	1778.03	469.09
600	2779	2774	2837	2801	2801	2876.25	2815	2814	2893.5	2828	2824.25	2907.25	2865	2855	2959	2815.28	2813.65	2891.9	2815.26	2813.63	707.73
800	3833	3840	3911	3885	3887	3982	3894	3895.5	4001.5	3906	3911	4019	3942	3942	4085	3895.67	3897.89	4001.03	3895.65	3897.87	948.1
1000	4951	4962	5049	4995	4997	5117.75	5010	5012	5135.5	5022.25	5021.25	5154.25	5067	5057	5233	5008.66	5009.61	5135.22	5008.58	5009.53	1188.58
