States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.000019	0.000026	0.000045	0.000024	0.000032	0.00005	0.000026	0.000035	0.000052	0.000028	0.000038	0.000055	0.000049	0.000057	0.000064	0.00002596	0.00003522	0.00005276
20	0.000055	0.000079	0.000171	0.00006	0.000087	0.000181	0.000065	0.000091	0.0001875	0.000069	0.000094	0.000195	0.000098	0.000117	0.00022	0.00006539	0.00009072	0.00018851
30	0.000105	0.000141	0.000368	0.000108	0.000151	0.000379	0.00011	0.000155	0.0003875	0.000112	0.00015825	0.00039725	0.000153	0.000173	0.000417	0.00011097	0.00015529	0.00038821
40	0.000182	0.000241	0.000633	0.000188	0.000249	0.00065375	0.000191	0.000256	0.00067	0.000197	0.000262	0.00068225	0.000256	0.000278	0.000746	0.00019364	0.00025647	0.00067067
50	0.000264	0.000338	0.000974	0.000277	0.000352	0.001009	0.000282	0.0003585	0.0010305	0.00028725	0.000365	0.00105275	0.000347	0.000407	0.001125	0.00028363	0.00035909	0.00103256
60	0.000363	0.000457	0.001401	0.000376	0.00047675	0.00143875	0.0003825	0.000482	0.0014655	0.000387	0.00049125	0.001493	0.000479	0.000514	0.001551	0.00038286	0.00048415	0.0014671
70	0.000492	0.000609	0.001901	0.000504	0.00061875	0.0019765	0.000509	0.000625	0.0020085	0.000514	0.000632	0.002027	0.000622	0.000656	0.002094	0.00051092	0.00062556	0.00200418
80	0.000656	0.000775	0.002482	0.00068	0.000789	0.00255175	0.000689	0.0007975	0.0025745	0.0007	0.000805	0.00261125	0.00081	0.000838	0.002698	0.00069083	0.0007976	0.00258325
90	0.00084	0.000951	0.003139	0.000852	0.00097675	0.00323875	0.000858	0.000985	0.003275	0.00086625	0.000993	0.0033185	0.000983	0.001021	0.003437	0.00086242	0.00098485	0.003276
100	0.001023	0.001154	0.003873	0.00105375	0.001181	0.004033	0.001073	0.001192	0.0040835	0.001084	0.001205	0.0041395	0.001251	0.001246	0.004308	0.00107222	0.00119346	0.00408493
150	0.00239	0.002632	0.008919	0.002477	0.002659	0.00907375	0.002539	0.0026795	0.009172	0.00256825	0.00273625	0.00928325	0.003456	0.003074	0.013602	0.00254048	0.00270799	0.00922898
200	0.0042	0.00437	0.01642	0.0042875	0.004461	0.01670075	0.0043515	0.0045095	0.0167905	0.00443975	0.00458875	0.01688375	0.004997	0.005173	0.020703	0.00439834	0.00455298	0.0168603
300	0.009651	0.009905	0.038864	0.01022975	0.01052575	0.03933625	0.010607	0.0109415	0.03948	0.0111295	0.011281	0.03971825	0.012136	0.016528	0.0451	0.0106706	0.011028	0.03975396
400	0.018634	0.018523	0.070337	0.02063825	0.0207635	0.072181	0.0211695	0.021391	0.072904	0.0216805	0.0223495	0.07357125	0.028229	0.029514	0.098501	0.02123078	0.02157979	0.07353323
600	0.042953	0.042438	0.163759	0.04614875	0.045459	0.16904175	0.0469875	0.046664	0.174657	0.0478805	0.047583	0.1790085	0.056066	0.055016	0.189795	0.04740246	0.04687858	0.17438186
800	0.081537	0.078098	0.304867	0.08630725	0.08210475	0.3131695	0.088377	0.0863905	0.3368475	0.08961075	0.0886175	0.34055725	0.122925	0.105756	0.422293	0.08814611	0.08592439	0.33084158
1000	0.135049	0.135346	0.501002	0.13940575	0.140221	0.51727125	0.140696	0.143528	0.530514	0.142073	0.14642775	0.56100975	0.146006	0.152374	0.588603	0.14087988	0.14345004	0.53776427
