FSMtype	States	Inputs	Outputs	Sequences	Symbols	Seconds	Algorithm	AlgId	fileName
1	60	5	5	136	272	0.000479	ShortestSeparatingSequences	0	DFSM_R60_5.fsm
1	60	5	5	134	268	0.000493	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5.fsm
1	60	5	5	60	286	0.001485	SplittingTreeBased	2	DFSM_R60_5.fsm
1	60	5	5	130	262	0.000382	ShortestSeparatingSequences	0	DFSM_R60_5_JGOWR.fsm
1	60	5	5	133	268	0.000502	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_JGOWR.fsm
1	60	5	5	60	276	0.001467	SplittingTreeBased	2	DFSM_R60_5_JGOWR.fsm
1	60	5	5	130	260	0.000391	ShortestSeparatingSequences	0	DFSM_R60_5_e2oB9.fsm
1	60	5	5	131	262	0.000474	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_e2oB9.fsm
1	60	5	5	60	272	0.001439	SplittingTreeBased	2	DFSM_R60_5_e2oB9.fsm
1	60	5	5	139	278	0.000385	ShortestSeparatingSequences	0	DFSM_R60_5_Bx1m6.fsm
1	60	5	5	140	280	0.000480	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_Bx1m6.fsm
1	60	5	5	60	281	0.001504	SplittingTreeBased	2	DFSM_R60_5_Bx1m6.fsm
1	60	5	5	139	282	0.000389	ShortestSeparatingSequences	0	DFSM_R60_5_vMD5e.fsm
1	60	5	5	133	268	0.000497	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_vMD5e.fsm
1	60	5	5	60	255	0.001409	SplittingTreeBased	2	DFSM_R60_5_vMD5e.fsm
1	60	5	5	139	278	0.000391	ShortestSeparatingSequences	0	DFSM_R60_5_S3Gxc.fsm
1	60	5	5	140	280	0.000483	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_S3Gxc.fsm
1	60	5	5	60	267	0.001433	SplittingTreeBased	2	DFSM_R60_5_S3Gxc.fsm
1	60	5	5	132	264	0.000376	ShortestSeparatingSequences	0	DFSM_R60_5_fA71A.fsm
1	60	5	5	132	264	0.000480	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_fA71A.fsm
1	60	5	5	60	280	0.001465	SplittingTreeBased	2	DFSM_R60_5_fA71A.fsm
1	60	5	5	140	280	0.000375	ShortestSeparatingSequences	0	DFSM_R60_5_23J2k.fsm
1	60	5	5	140	280	0.000482	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_23J2k.fsm
1	60	5	5	60	282	0.001473	SplittingTreeBased	2	DFSM_R60_5_23J2k.fsm
1	60	5	5	134	268	0.000375	ShortestSeparatingSequences	0	DFSM_R60_5_PHhL7.fsm
1	60	5	5	134	268	0.000479	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_PHhL7.fsm
1	60	5	5	60	277	0.001458	SplittingTreeBased	2	DFSM_R60_5_PHhL7.fsm
1	60	5	5	132	264	0.000386	ShortestSeparatingSequences	0	DFSM_R60_5_oCUGx.fsm
1	60	5	5	128	256	0.000471	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_oCUGx.fsm
1	60	5	5	60	274	0.001445	SplittingTreeBased	2	DFSM_R60_5_oCUGx.fsm
1	60	5	5	140	280	0.000385	ShortestSeparatingSequences	0	DFSM_R60_5_ClPsG.fsm
1	60	5	5	138	276	0.000482	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_ClPsG.fsm
1	60	5	5	60	274	0.001463	SplittingTreeBased	2	DFSM_R60_5_ClPsG.fsm
1	60	5	5	133	266	0.000374	ShortestSeparatingSequences	0	DFSM_R60_5_oPgfX.fsm
1	60	5	5	132	264	0.000476	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_oPgfX.fsm
1	60	5	5	60	280	0.001472	SplittingTreeBased	2	DFSM_R60_5_oPgfX.fsm
1	60	5	5	130	260	0.000374	ShortestSeparatingSequences	0	DFSM_R60_5_1v5FN.fsm
1	60	5	5	129	258	0.000478	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_1v5FN.fsm
1	60	5	5	60	260	0.001413	SplittingTreeBased	2	DFSM_R60_5_1v5FN.fsm
1	60	5	5	141	282	0.000386	ShortestSeparatingSequences	0	DFSM_R60_5_JUAJ4.fsm
1	60	5	5	142	284	0.000486	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_JUAJ4.fsm
1	60	5	5	60	285	0.001489	SplittingTreeBased	2	DFSM_R60_5_JUAJ4.fsm
1	60	5	5	144	292	0.000389	ShortestSeparatingSequences	0	DFSM_R60_5_1qm9s.fsm
1	60	5	5	145	292	0.000502	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_1qm9s.fsm
1	60	5	5	60	288	0.001520	SplittingTreeBased	2	DFSM_R60_5_1qm9s.fsm
1	60	5	5	132	264	0.000384	ShortestSeparatingSequences	0	DFSM_R60_5_Tthtl.fsm
1	60	5	5	132	264	0.000475	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_Tthtl.fsm
1	60	5	5	60	278	0.001456	SplittingTreeBased	2	DFSM_R60_5_Tthtl.fsm
1	60	5	5	136	272	0.000384	ShortestSeparatingSequences	0	DFSM_R60_5_JLNkY.fsm
1	60	5	5	136	272	0.000481	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_JLNkY.fsm
1	60	5	5	60	284	0.001477	SplittingTreeBased	2	DFSM_R60_5_JLNkY.fsm
1	60	5	5	144	288	0.000379	ShortestSeparatingSequences	0	DFSM_R60_5_fB2gb.fsm
1	60	5	5	144	288	0.000493	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_fB2gb.fsm
1	60	5	5	60	269	0.001452	SplittingTreeBased	2	DFSM_R60_5_fB2gb.fsm
1	60	5	5	134	268	0.000399	ShortestSeparatingSequences	0	DFSM_R60_5_q7u3R.fsm
1	60	5	5	133	266	0.000481	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_q7u3R.fsm
1	60	5	5	60	263	0.001406	SplittingTreeBased	2	DFSM_R60_5_q7u3R.fsm
1	60	5	5	136	272	0.000378	ShortestSeparatingSequences	0	DFSM_R60_5_2ojST.fsm
1	60	5	5	139	278	0.000487	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_2ojST.fsm
1	60	5	5	60	294	0.001530	SplittingTreeBased	2	DFSM_R60_5_2ojST.fsm
1	60	5	5	132	264	0.000379	ShortestSeparatingSequences	0	DFSM_R60_5_7IvGf.fsm
1	60	5	5	132	264	0.000480	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_7IvGf.fsm
1	60	5	5	60	274	0.001451	SplittingTreeBased	2	DFSM_R60_5_7IvGf.fsm
1	60	5	5	137	274	0.000380	ShortestSeparatingSequences	0	DFSM_R60_5_aiZU4.fsm
1	60	5	5	137	274	0.000481	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_aiZU4.fsm
1	60	5	5	60	294	0.001518	SplittingTreeBased	2	DFSM_R60_5_aiZU4.fsm
1	60	5	5	128	256	0.000367	ShortestSeparatingSequences	0	DFSM_R60_5_h7qrO.fsm
1	60	5	5	128	256	0.000468	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_h7qrO.fsm
1	60	5	5	60	263	0.001404	SplittingTreeBased	2	DFSM_R60_5_h7qrO.fsm
1	60	5	5	132	264	0.000384	ShortestSeparatingSequences	0	DFSM_R60_5_iK7vF.fsm
1	60	5	5	132	264	0.000469	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_iK7vF.fsm
1	60	5	5	60	263	0.001413	SplittingTreeBased	2	DFSM_R60_5_iK7vF.fsm
1	60	5	5	137	274	0.000383	ShortestSeparatingSequences	0	DFSM_R60_5_IJrrI.fsm
1	60	5	5	134	268	0.000479	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_IJrrI.fsm
1	60	5	5	60	272	0.001453	SplittingTreeBased	2	DFSM_R60_5_IJrrI.fsm
1	60	5	5	135	270	0.000383	ShortestSeparatingSequences	0	DFSM_R60_5_PNb3R.fsm
1	60	5	5	131	262	0.000484	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_PNb3R.fsm
1	60	5	5	60	278	0.001468	SplittingTreeBased	2	DFSM_R60_5_PNb3R.fsm
1	60	5	5	130	260	0.000386	ShortestSeparatingSequences	0	DFSM_R60_5_GFdVS.fsm
1	60	5	5	130	260	0.000474	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_GFdVS.fsm
1	60	5	5	60	277	0.001463	SplittingTreeBased	2	DFSM_R60_5_GFdVS.fsm
1	60	5	5	139	278	0.000370	ShortestSeparatingSequences	0	DFSM_R60_5_pB00j.fsm
1	60	5	5	138	276	0.000479	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_pB00j.fsm
1	60	5	5	60	290	0.001503	SplittingTreeBased	2	DFSM_R60_5_pB00j.fsm
1	60	5	5	151	302	0.000382	ShortestSeparatingSequences	0	DFSM_R60_5_VZ56v.fsm
1	60	5	5	148	296	0.000495	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_VZ56v.fsm
1	60	5	5	60	283	0.001493	SplittingTreeBased	2	DFSM_R60_5_VZ56v.fsm
1	60	5	5	134	268	0.000372	ShortestSeparatingSequences	0	DFSM_R60_5_FfSyA.fsm
1	60	5	5	136	272	0.000478	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_FfSyA.fsm
1	60	5	5	60	263	0.001412	SplittingTreeBased	2	DFSM_R60_5_FfSyA.fsm
1	60	5	5	134	268	0.000381	ShortestSeparatingSequences	0	DFSM_R60_5_FEdWY.fsm
1	60	5	5	134	268	0.000469	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_FEdWY.fsm
1	60	5	5	60	279	0.001461	SplittingTreeBased	2	DFSM_R60_5_FEdWY.fsm
1	60	5	5	132	264	0.000384	ShortestSeparatingSequences	0	DFSM_R60_5_bT89U.fsm
1	60	5	5	133	266	0.000473	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_bT89U.fsm
1	60	5	5	60	264	0.001420	SplittingTreeBased	2	DFSM_R60_5_bT89U.fsm
1	60	5	5	125	250	0.000366	ShortestSeparatingSequences	0	DFSM_R60_5_tHdU9.fsm
1	60	5	5	125	250	0.000467	SeparatingSequencesFromSplittingTree	1	DFSM_R60_5_tHdU9.fsm
1	60	5	5	60	272	0.001431	SplittingTreeBased	2	DFSM_R60_5_tHdU9.fsm
