States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	10	10	10	12	10	10	12	12	10	14	12	10	17	17	10	12.33	11.82	10
20	27	24	20	31	29	20	33	32	20	35.25	34	20	44	44	22	33.54	31.78	20.06
30	45	45	30	53	51	30	56	53.5	30	59	57	30	71	69	32	56.43	54.04	30.12
40	74	70	40	79	77	40	83	80	40	86.25	83	42	97	94	44	83.12	80.56	40.67
50	98	97	50	105	104	50	109	106	50	112	109.25	52	125	120	57	109.24	106.79	50.97
60	126	123	60	135	132.75	60	138	136	62	141	138	62	153	149	68	138.06	135.68	61.53
70	155	153	70	162.75	162	70	167	165.5	72	172.25	169	74	183	180	80	167.42	165.73	72.27
80	182	180	80	193	191	80	197	195	82	202	200	84	216	207	94	197.45	194.97	82.79
90	215	207	90	225	223	92	229	227	92	233	231	94	246	241	103	229.19	226.44	93.16
100	241	241	100	253.75	254	102	259.5	258	104	265.25	262	106	282	272	112	259.66	257.96	104.44
150	402	403	154	420.75	419	157	425.5	424	160	432.25	429	164	450	452	182	426.34	424.19	161
200	582	572	206	599.75	595	214.75	606	602.5	218	611.5	609	222	646	636	236	606.02	602.09	218.44
300	954	956	322	973	971	332	980	980.5	338	988	989	343	1006	1008	362	980.57	980.66	338.04
400	1352	1353	432	1370	1369	448.5	1378.5	1377	456	1387.25	1388	466.25	1409	1408	487	1378.79	1377.8	457.17
600	2185	2174	669	2210.75	2207	687	2222	2220	697	2233	2230	706.5	2262	2267	730	2222.81	2218.54	698.14
800	3050	3054	902	3078.75	3080.75	926.75	3092	3093.5	937	3109	3109	948	3142	3141	990	3094.19	3095.29	937.17
1000	3963	3950	1127	3997.75	3991.75	1165.75	4009	4005	1176	4024.25	4021	1187.75	4071	4066	1243	4011.77	4006.18	1176.75
