States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	17	17	10	20	20	10	21	21	10	22	22	10	26	24	12	20.96	20.79	10.02
20	44	43	20	49.75	49	20	52	50.5	20	53	53	20	58	57	24	51.34	50.82	20.46
30	78	75	30	82	81	30	84	84	32	87	87	32	92	93	37	84.42	84.1	31.73
40	112	110	40	119	117	42	120	119	42	123	121	44	134	132	49	120.57	119.37	43.17
50	149	146	50	154	154	52.75	157	157.5	56	160.25	161	57.25	173	169	65	157.61	157.58	55.37
60	182	184	60	193	192	64	195	195	66	198	198	68	206	205	78	195.5	195.43	66.54
70	222	216	70	231	230	76	234	234	80	238	238	83	253	250	92	234.4	234.05	79.87
80	264	262	82	270.75	272	88	274	275	92	279	278	94.25	293	292	109	275.25	275.04	91.99
90	298	300	94	311	312	99	316	316	103	320	319.25	106.25	338	330	121	315.67	315.86	102.99
100	344	342	102	353	353	111.75	357	356	116	362	361	119	373	370	127	357.9	356.65	115.05
150	556	556	160	569	570	171	572.5	573	176	579	579	180.25	598	596	207	574.15	573.93	176.42
200	776	776	218	794	794	230	800	800	236	806	806	241	824	822	266	800.17	800.39	236.41
300	1252	1235	328	1271.75	1272.75	346	1278.5	1279	353	1287	1283.25	359	1323	1301	376	1279.46	1277.88	352.35
400	1750	1743	446	1769	1770	462.75	1777	1779	469	1787.25	1788.25	476.25	1819	1811	492	1778.35	1778.03	469.09
600	2779	2774	687	2801	2801	701.75	2815	2814	706.5	2828	2824.25	715.25	2865	2855	730	2815.26	2813.63	707.73
800	3833	3840	925	3885	3887	939.75	3894	3895.5	947.5	3905.25	3911	956	3942	3942	977	3895.65	3897.87	948.1
1000	4951	4962	1150	4994.5	4996.75	1180	5010	5011.5	1188.5	5022.25	5021.25	1196.25	5067	5057	1221	5008.58	5009.53	1188.58
