States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.00002	0.000028	0.000045	0.000023	0.000032	0.000052	0.000025	0.000034	0.000054	0.000028	0.000035	0.000057	0.000038	0.000046	0.000067	0.00002585	0.00003398	0.00005485
20	0.000056	0.000076	0.000168	0.00005975	0.00008575	0.000189	0.000061	0.00009	0.0001965	0.000063	0.000095	0.00021	0.000075	0.000114	0.000255	0.00006176	0.00009061	0.00019915
30	0.000108	0.00015	0.000374	0.000115	0.00016075	0.000401	0.0001185	0.0001665	0.000418	0.000123	0.000175	0.0004355	0.00015	0.000209	0.000498	0.00012002	0.00016958	0.00042014
40	0.00018	0.000239	0.000718	0.000187	0.000255	0.000763	0.0001905	0.0002645	0.000787	0.000196	0.00028125	0.00080825	0.000222	0.000318	0.000876	0.0001924	0.00026917	0.00078857
50	0.000263	0.000343	0.001045	0.000275	0.000366	0.00110975	0.000285	0.0003835	0.001133	0.000294	0.0004035	0.00115125	0.000342	0.000442	0.00126	0.00028779	0.00038659	0.00113324
60	0.00037	0.000477	0.001548	0.000379	0.0005145	0.0016135	0.000388	0.000531	0.00164	0.00039625	0.00054625	0.0016675	0.000471	0.000591	0.001748	0.00039043	0.00053009	0.00163889
70	0.0005	0.000629	0.002076	0.000514	0.00066075	0.00216975	0.000526	0.0006825	0.002211	0.000547	0.000698	0.002263	0.012194	0.000758	0.008382	0.00064628	0.00068324	0.00227685
80	0.000683	0.000798	0.002822	0.00072575	0.00085775	0.002933	0.000737	0.0008915	0.0029865	0.00076325	0.00091425	0.003034	0.000832	0.001005	0.003195	0.00074706	0.00088819	0.00298748
90	0.000859	0.001015	0.003516	0.00088575	0.0010635	0.00364225	0.000894	0.0010865	0.003691	0.00090825	0.00110925	0.00375275	0.000944	0.001177	0.003941	0.00089696	0.00108657	0.00369984
100	0.001108	0.001203	0.004361	0.00114375	0.001288	0.00450875	0.0011585	0.0013115	0.0045885	0.00117325	0.001336	0.00466425	0.001244	0.001716	0.004845	0.00115952	0.00131703	0.0045897
150	0.002385	0.002694	0.010057	0.0024705	0.00278475	0.0103465	0.002502	0.0028095	0.01046	0.00254925	0.002841	0.01059375	0.003007	0.002976	0.013416	0.0025145	0.002818	0.01051088
200	0.004716	0.005256	0.018562	0.00510725	0.00555325	0.0191055	0.0051795	0.0057235	0.0192755	0.00544075	0.0059465	0.019539	0.006686	0.00717	0.023569	0.00529294	0.00577181	0.01942209
300	0.009923	0.010241	0.044656	0.0104855	0.01081575	0.045757	0.0111405	0.01152	0.046353	0.01344525	0.01352925	0.04699825	0.01581	0.015866	0.048722	0.01179128	0.01222593	0.04642268
400	0.021129	0.020037	0.086699	0.02288875	0.0237355	0.088268	0.023506	0.0245605	0.0892075	0.0245935	0.0262465	0.0899385	0.02999	0.030805	0.09572	0.02375025	0.02505787	0.08930368
600	0.042473	0.038728	0.193776	0.04693125	0.0453025	0.197437	0.0491845	0.0493115	0.200339	0.05099725	0.05233325	0.20287675	0.0535	0.057629	0.252182	0.04870989	0.04885599	0.20072961
800	0.084256	0.078902	0.376331	0.0888775	0.08345775	0.38155975	0.0906205	0.086064	0.3838815	0.091944	0.08784525	0.387007	0.095603	0.093141	0.395439	0.09021977	0.08577717	0.38431103
1000	0.124161	0.115789	0.584898	0.1265205	0.125038	0.60165825	0.127876	0.127456	0.6057945	0.1294535	0.13064275	0.610269	0.131729	0.135738	0.621008	0.12790997	0.12795662	0.60558162
