States	0_0	0_1	0_2	1_0	1_1	1_2	2_0	2_1	2_2	3_0	3_1	3_2	4_0	4_1	4_2	Avg_0	Avg_1	Avg_2
10	0.000026	0.00004	0.000084	0.00002875	0.000055	0.00009475	0.000031	0.000064	0.000104	0.00003225	0.000078	0.00011425	0.000056	0.00028	0.000317	0.00003208	0.00007155	0.00011018
20	0.00008	0.000141	0.000332	0.000083	0.000169	0.000357	0.000085	0.0001775	0.00037	0.000088	0.00018625	0.000379	0.000104	0.000268	0.00047	0.00008607	0.00017982	0.0003724
30	0.000152	0.000284	0.00074	0.000158	0.00031175	0.00077775	0.000163	0.0003345	0.0007985	0.000169	0.000357	0.0008285	0.000223	0.000408	0.000978	0.00016496	0.00033556	0.00080581
40	0.000251	0.000453	0.001294	0.000271	0.00048875	0.0013685	0.000279	0.000511	0.001407	0.000288	0.00054175	0.001469	0.000331	0.000713	0.001823	0.00028095	0.00052033	0.00142618
50	0.000378	0.000633	0.001924	0.000392	0.00068575	0.0020835	0.000402	0.000715	0.002143	0.00041	0.00075	0.0021945	0.000445	0.000987	0.002623	0.00040302	0.00072345	0.0021561
60	0.000514	0.000828	0.002936	0.000538	0.000925	0.003093	0.0005525	0.00096	0.003145	0.0005725	0.000999	0.0032285	0.001298	0.001482	0.009651	0.00056583	0.00097369	0.00324333
70	0.000718	0.00107	0.00402	0.00074375	0.00120525	0.0041675	0.000758	0.0012465	0.0042715	0.00078025	0.00128075	0.004365	0.00089	0.00156	0.008745	0.00076565	0.00124954	0.00432531
80	0.00092	0.001369	0.00517	0.00094675	0.0014655	0.0053625	0.0009555	0.0015075	0.0054765	0.000968	0.00155325	0.00555475	0.001011	0.001779	0.008125	0.00095764	0.00151739	0.00551028
90	0.001183	0.001703	0.006509	0.001231	0.00181575	0.0068175	0.0012435	0.00186	0.0069225	0.00125525	0.00192125	0.00704525	0.001304	0.002195	0.007384	0.0012435	0.00186756	0.00693794
100	0.001428	0.001952	0.008445	0.00147175	0.00213675	0.008675	0.0014995	0.0021845	0.008763	0.00152825	0.002234	0.00894425	0.001627	0.016809	0.009464	0.00150336	0.00233619	0.0088243
150	0.003195	0.0042	0.019259	0.003357	0.00436525	0.019717	0.0033795	0.0044455	0.0199635	0.00339925	0.004544	0.020199	0.003702	0.008561	0.024093	0.00339062	0.00449304	0.02008818
200	0.005622	0.007054	0.035613	0.0058985	0.0074855	0.0366395	0.0060195	0.0076495	0.036999	0.0061855	0.00788	0.03731025	0.007256	0.009477	0.039972	0.00608805	0.00775498	0.03701629
300	0.015524	0.017604	0.092238	0.0176445	0.020907	0.09397375	0.018743	0.021905	0.095105	0.01971075	0.0232195	0.09640375	0.02429	0.0294	0.105877	0.01886908	0.02220493	0.09530064
400	0.025745	0.027922	0.165504	0.02740125	0.03156225	0.16940425	0.028004	0.0326315	0.1721535	0.02928475	0.033973	0.17528475	0.037599	0.039769	0.18005	0.02862742	0.03310271	0.17236509
600	0.067244	0.073471	0.409214	0.07063625	0.07774475	0.421761	0.073646	0.0813455	0.4268115	0.075936	0.08416125	0.43127775	0.083454	0.093399	0.454467	0.07350902	0.08132597	0.42724034
800	0.111581	0.112042	0.756814	0.1179485	0.12215375	0.799966	0.120259	0.1242735	0.8189495	0.12351225	0.12712475	0.83471525	0.158427	0.144378	1.097658	0.12166813	0.12471792	0.82259529
1000	0.165475	0.17157	1.141815	0.1714075	0.18023575	1.17125775	0.1742475	0.184174	1.179638	0.176889	0.18839875	1.19448375	0.201788	0.238479	1.308484	0.17492293	0.1854407	1.18380222
