Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	3	90	5	5	1	5832	63283	10343	0.163440	0.013668	TS	Wp-method	3	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	5692	61699	10203	0.165367	0.013361	TS	Wp-methodST	4	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	4743	58444	9254	0.158340	0.009701	TS	HSI-method	5	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	2133	33488	14269	0.426093	0.009274	TS	HSI-methodST	6	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	2471	36921	13189	0.357222	0.008644	TS	H-method	7	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	2412	39242	16381	0.417435	0.012572	TS	SPY-method	8	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	2133	33488	14269	0.426093	0.009496	TS	SPY-methodST	9	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	2094	33262	13131	0.394775	0.025097	TS	SPYH-method	10	Moore_R90_5_d52XP.fsm
0	3	90	5	5	1	852	26596	19849	0.746315	0.185900	TS	S-method	11	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	28459	454347	96513	0.212421	0.204963	TS	SVS-method	0	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	42868	562223	65429	0.116376	0.083457	TS	W-method	1	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	42868	562223	65429	0.116376	0.086393	TS	W-methodST	2	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	29112	373771	51673	0.138248	0.064488	TS	Wp-method	3	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	28405	364382	50966	0.139870	0.065111	TS	Wp-methodST	4	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	23559	337064	46120	0.136829	0.051962	TS	HSI-method	5	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	10617	187970	71271	0.379162	0.034574	TS	HSI-methodST	6	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	11700	200370	66117	0.329975	0.045306	TS	H-method	7	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	10837	210545	87675	0.416419	0.112489	TS	SPY-method	8	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	10617	187970	71271	0.379162	0.042247	TS	SPY-methodST	9	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	10565	192615	65887	0.342066	0.363126	TS	SPYH-method	10	Moore_R90_5_d52XP.fsm
0	3	90	5	5	2	4505	152323	107185	0.703669	2.698831	TS	S-method	11	Moore_R90_5_d52XP.fsm
0	3	90	5	5	0	876	10656	3337	0.313157	0.010075	TS	SVS-method	0	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	1714	16609	3517	0.211753	0.006112	TS	W-method	1	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	1714	16609	3517	0.211753	0.006352	TS	W-methodST	2	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	1134	10277	2237	0.217671	0.005431	TS	Wp-method	3	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	1132	10083	2055	0.203808	0.005547	TS	Wp-methodST	4	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	882	9154	1805	0.197182	0.002422	TS	HSI-method	5	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	499	6653	3629	0.545468	0.004840	TS	HSI-methodST	6	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	584	7158	2631	0.367561	0.002515	TS	H-method	7	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	584	7494	2933	0.391380	0.002415	TS	SPY-method	8	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	499	6653	3629	0.545468	0.004846	TS	SPY-methodST	9	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	481	6335	2763	0.436148	0.003805	TS	SPYH-method	10	Moore_R90_5_PNrok.fsm
0	3	90	5	5	0	149	4599	3731	0.811263	0.030545	TS	S-method	11	Moore_R90_5_PNrok.fsm
0	3	90	5	5	1	4469	63055	16873	0.267592	0.038179	TS	SVS-method	0	Moore_R90_5_PNrok.fsm
0	3	90	5	5	1	8573	100190	17596	0.175626	0.017877	TS	W-method	1	Moore_R90_5_PNrok.fsm
0	3	90	5	5	1	8573	100190	17596	0.175626	0.018449	TS	W-methodST	2	Moore_R90_5_PNrok.fsm
