Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	2	60	5	5	1	5250	32126	8191	0.254965	0.013529	TS	SVS-method	0	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	6025	36355	8735	0.240270	0.007720	TS	W-method	1	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	4820	29325	7530	0.256777	0.006681	TS	W-methodST	2	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	3658	21401	5209	0.243400	0.005693	TS	Wp-method	3	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	3323	19428	4874	0.250875	0.005414	TS	Wp-methodST	4	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	4012	23450	5563	0.237228	0.004350	TS	HSI-method	5	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	1272	10280	5583	0.543093	0.003433	TS	HSI-methodST	6	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	1744	12561	5288	0.420986	0.006017	TS	H-method	7	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	2000	14701	6642	0.451806	0.008130	TS	SPY-method	8	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	1272	10280	5583	0.543093	0.003564	TS	SPY-methodST	9	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	1305	10236	5268	0.514654	0.031340	TS	SPYH-method	10	Mealy_R60_5_BILma.fsm
0	2	60	5	5	1	569	9339	7500	0.803084	0.339280	TS	S-method	11	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	26270	186881	40928	0.219006	0.058533	TS	SVS-method	0	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	30125	211900	43680	0.206135	0.036033	TS	W-method	1	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	24100	170725	37655	0.220559	0.029806	TS	W-methodST	2	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	18354	125648	26096	0.207691	0.023682	TS	Wp-method	3	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	16672	114200	24414	0.213783	0.020813	TS	Wp-methodST	4	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	20027	137073	27769	0.202585	0.021982	TS	HSI-method	5	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	6337	57565	27882	0.484357	0.011989	TS	HSI-methodST	6	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	7822	66118	26394	0.399195	0.029516	TS	H-method	7	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	9267	81251	35278	0.434185	0.080022	TS	SPY-method	8	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	6337	57565	27882	0.484357	0.013350	TS	SPY-methodST	9	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	6545	58224	26284	0.451429	0.689443	TS	SPYH-method	10	Mealy_R60_5_BILma.fsm
0	2	60	5	5	2	3014	53435	40655	0.760831	4.904645	TS	S-method	11	Mealy_R60_5_BILma.fsm
0	2	60	5	5	0	1094	5670	1755	0.309524	0.005502	TS	SVS-method	0	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	1205	5765	1505	0.261058	0.002350	TS	W-method	1	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	1205	5765	1505	0.261058	0.002463	TS	W-methodST	2	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	700	3351	1000	0.298418	0.002411	TS	Wp-method	3	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	704	3369	1004	0.298011	0.002539	TS	Wp-methodST	4	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	800	3826	1100	0.287507	0.001099	TS	HSI-method	5	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	271	1814	1077	0.593716	0.001745	TS	HSI-methodST	6	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	400	2325	1091	0.469247	0.001455	TS	H-method	7	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	444	2600	1247	0.479615	0.001384	TS	SPY-method	8	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	271	1814	1077	0.593716	0.001759	TS	SPY-methodST	9	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	325	2033	1090	0.536153	0.002749	TS	SPYH-method	10	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	0	126	1616	1333	0.824876	0.040508	TS	S-method	11	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	5465	33801	8803	0.260436	0.013179	TS	SVS-method	0	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	6025	34850	7530	0.216069	0.007086	TS	W-method	1	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	6025	34850	7530	0.216069	0.007017	TS	W-methodST	2	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	3480	20134	4985	0.247591	0.005286	TS	Wp-method	3	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	3498	20233	5003	0.247269	0.005351	TS	Wp-methodST	4	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	3975	23005	5480	0.238209	0.004151	TS	HSI-method	5	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	1359	10405	5372	0.516290	0.003313	TS	HSI-methodST	6	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	1799	12688	5395	0.425205	0.005681	TS	H-method	7	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	1938	14380	6671	0.463908	0.007569	TS	SPY-method	8	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	1359	10405	5372	0.516290	0.003481	TS	SPY-methodST	9	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	1415	10957	5292	0.482979	0.027714	TS	SPYH-method	10	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	1	561	9199	7481	0.813241	0.333531	TS	S-method	11	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	27316	196338	44029	0.224251	0.058767	TS	SVS-method	0	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	30125	204375	37655	0.184245	0.034339	TS	W-method	1	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	30125	204375	37655	0.184245	0.033425	TS	W-methodST	2	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	17446	118319	24976	0.211090	0.022022	TS	Wp-method	3	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	17546	118993	25076	0.210735	0.021466	TS	Wp-methodST	4	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	19833	134592	27363	0.203303	0.021578	TS	HSI-method	5	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	6775	58622	26810	0.457337	0.011794	TS	HSI-methodST	6	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	7953	66106	27001	0.408450	0.027885	TS	H-method	7	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	8783	78511	35526	0.452497	0.073322	TS	SPY-method	8	Mealy_R60_5_mCoaR.fsm
0	2	60	5	5	2	6775	58622	26810	0.457337	0.012822	TS	SPY-methodST	9	Mealy_R60_5_mCoaR.fsm
