"Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	Size	Exploration	seconds	AlgorithmType	Algorithm	AlgId	fileName"
"0	2	80	5	5	2	5027	75194	52540	0.698726	7.075710	TS	S-method	11	Mealy_R80_5_GPRa8.fsm"
"0	2	80	5	5	0	1921	10884	2981	0.273888	0.010014	TS	SVS-method	0	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	1284	6548	1684	0.257178	0.003524	TS	W-method	1	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	1284	6548	1684	0.257178	0.003417	TS	W-methodST	2	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	951	4848	1351	0.278672	0.004035	TS	Wp-method	3	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	944	4810	1344	0.279418	0.004244	TS	Wp-methodST	4	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	1050	5355	1450	0.270775	0.001656	TS	HSI-method	5	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	389	2761	1555	0.563202	0.002994	TS	HSI-methodST	6	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	579	3559	1508	0.423715	0.002571	TS	H-method	7	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	613	3691	1596	0.432403	0.001952	TS	SPY-method	8	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	389	2761	1555	0.563202	0.003009	TS	SPY-methodST	9	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	474	3140	1570	0.500000	0.004851	TS	SPYH-method	10	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	167	2504	2069	0.826278	0.078489	TS	S-method	11	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	9660	64410	14985	0.232650	0.024174	TS	SVS-method	0	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	6420	39160	8425	0.215143	0.008694	TS	W-method	1	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	6420	39160	8425	0.215143	0.008360	TS	W-methodST	2	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	4767	29068	6772	0.232971	0.008052	TS	Wp-method	3	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	4724	28819	6729	0.233492	0.008201	TS	Wp-methodST	4	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	5269	32144	7274	0.226294	0.005883	TS	HSI-method	5	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	1918	15604	7786	0.498975	0.005251	TS	HSI-methodST	6	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	2482	18448	7272	0.394189	0.009550	TS	H-method	7	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	2573	19950	8648	0.433484	0.010209	TS	SPY-method	8	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	1918	15604	7786	0.498975	0.005470	TS	SPY-methodST	9	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	1902	15528	7408	0.477074	0.047219	TS	SPYH-method	10	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	1	745	13987	11436	0.817616	0.628127	TS	S-method	11	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	48340	370610	74930	0.202180	0.106894	TS	SVS-method	0	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	32100	227900	42130	0.184862	0.043435	TS	W-method	1	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	32100	227900	42130	0.184862	0.038178	TS	W-methodST	2	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	23882	169580	33912	0.199976	0.033066	TS	Wp-method	3	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	23617	167742	33647	0.200588	0.031321	TS	Wp-methodST	4	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	26378	187251	36408	0.194434	0.030815	TS	HSI-method	5	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	9577	87587	39041	0.445740	0.018053	TS	HSI-methodST	6	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	10768	94190	36640	0.389001	0.048187	TS	H-method	7	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	11706	109035	46622	0.427587	0.098274	TS	SPY-method	8	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	9577	87587	39041	0.445740	0.019383	TS	SPY-methodST	9	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	9442	87841	37017	0.421409	0.839968	TS	SPYH-method	10	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	2	4020	79014	61056	0.772724	8.429800	TS	S-method	11	Mealy_R80_5_q8W6l.fsm"
"0	2	80	5	5	0	1789	10326	2840	0.275034	0.010611	TS	SVS-method	0	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	1284	6933	2005	0.289197	0.003808	TS	W-method	1	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	1284	6933	2005	0.289197	0.003876	TS	W-methodST	2	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	1026	5302	1435	0.270653	0.004246	TS	Wp-method	3	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	975	5044	1384	0.274385	0.004375	TS	Wp-methodST	4	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	1119	5777	1528	0.264497	0.001712	TS	HSI-method	5	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	365	2666	1541	0.578020	0.002927	TS	HSI-methodST	6	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	596	3634	1483	0.408090	0.002665	TS	H-method	7	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	619	3813	1709	0.448204	0.002041	TS	SPY-method	8	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	365	2666	1541	0.578020	0.002951	TS	SPY-methodST	9	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	478	3130	1529	0.488498	0.004914	TS	SPYH-method	10	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	172	2317	1886	0.813984	0.071329	TS	S-method	11	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	9065	61484	14376	0.233817	0.024326	TS	SVS-method	0	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	6420	41085	10030	0.244128	0.009459	TS	W-method	1	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	6420	41085	10030	0.244128	0.009255	TS	W-methodST	2	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	5101	31406	7143	0.227441	0.008665	TS	Wp-method	3	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	4852	29875	6894	0.230762	0.008444	TS	Wp-methodST	4	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	5540	34102	7582	0.222333	0.006227	TS	HSI-method	5	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	1825	15212	7731	0.508217	0.005225	TS	HSI-methodST	6	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	2662	19594	7364	0.375829	0.009962	TS	H-method	7	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	2661	20475	9002	0.439658	0.010881	TS	SPY-method	8	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	1825	15212	7731	0.508217	0.005347	TS	SPY-methodST	9	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	1944	15851	7343	0.463252	0.050856	TS	SPYH-method	10	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	1	846	13079	10108	0.772842	0.570427	TS	S-method	11	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	45262	352145	71824	0.203961	0.102305	TS	SVS-method	0	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	32100	237525	50155	0.211157	0.042951	TS	W-method	1	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	32100	237525	50155	0.211157	0.040052	TS	W-methodST	2	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	25510	182603	35731	0.195676	0.033741	TS	Wp-method	3	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	24280	173794	34501	0.198517	0.031777	TS	Wp-methodST	4	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	27777	198832	37998	0.191106	0.031945	TS	HSI-method	5	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	9158	85454	38751	0.453472	0.017788	TS	HSI-methodST	6	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	11446	98745	36512	0.369760	0.050090	TS	H-method	7	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	12370	112742	47656	0.422700	0.107615	TS	SPY-method	8	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	9158	85454	38751	0.453472	0.018845	TS	SPY-methodST	9	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	9881	89696	36556	0.407554	0.727130	TS	SPYH-method	10	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	2	4145	74476	55856	0.749987	8.404103	TS	S-method	11	Mealy_R80_5_9zY3N.fsm"
"0	2	80	5	5	0	1920	10808	2892	0.267580	0.010417	TS	SVS-method	0	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	1284	6869	2005	0.291891	0.003740	TS	W-method	1	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	1284	6869	2005	0.291891	0.003906	TS	W-methodST	2	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	978	5007	1390	0.277611	0.004172	TS	Wp-method	3	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	972	4978	1384	0.278023	0.004335	TS	Wp-methodST	4	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	1068	5463	1480	0.270913	0.001677	TS	HSI-method	5	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	360	2585	1506	0.582592	0.002970	TS	HSI-methodST	6	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	596	3623	1502	0.414574	0.002640	TS	H-method	7	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	583	3626	1640	0.452289	0.002008	TS	SPY-method	8	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	360	2585	1506	0.582592	0.002934	TS	SPY-methodST	9	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	468	3112	1563	0.502249	0.004824	TS	SPYH-method	10	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	0	147	2370	2016	0.850633	0.074013	TS	S-method	11	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	9493	63016	14337	0.227514	0.024284	TS	SVS-method	0	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	6420	40765	10030	0.246044	0.009448	TS	W-method	1	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	6420	40765	10030	0.246044	0.009246	TS	W-methodST	2	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	4862	29734	6932	0.233134	0.008378	TS	Wp-method	3	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	4843	29619	6913	0.233397	0.008429	TS	Wp-methodST	4	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	5327	32553	7397	0.227229	0.006040	TS	HSI-method	5	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	1796	14741	7572	0.513669	0.005084	TS	HSI-methodST	6	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	2561	18806	7332	0.389876	0.009799	TS	H-method	7	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	2506	19635	8760	0.446142	0.010893	TS	SPY-method	8	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	1796	14741	7572	0.513669	0.005302	TS	SPY-methodST	9	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	1903	15666	7463	0.476382	0.056876	TS	SPYH-method	10	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	1	760	13570	10950	0.806927	0.612759	TS	S-method	11	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	47526	362956	71623	0.197332	0.104345	TS	SVS-method	0	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	32100	235925	50155	0.212589	0.044091	TS	W-method	1	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	32100	235925	50155	0.212589	0.039941	TS	W-methodST	2	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	24233	172402	34637	0.200908	0.032893	TS	Wp-method	3	Mealy_R80_5_P3CTz.fsm"
"0	2	80	5	5	2	24149	171845	34553	0.201071	0.031493	TS	Wp-methodST	4	Mealy_R80_5_P3CTz.fsm"
