Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	3	100	5	5	3096	3096	6	17544	2580	0.147059	0	0	0.029915	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	3512	3512	6	18083	2906	0.160703	0	0	0.032690	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	3011	3011	6	15001	2506	0.167056	0	0	0.034717	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	3017	3017	6	15020	2506	0.166844	0	0	0.037771	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	3020	3020	6	15032	2506	0.166711	0	0	0.022485	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	4713	4713	1	22168	2505	0.113001	0	0	0.005998	OP	AllGlobally	5	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	4713	4713	1	22168	2505	0.113001	0	0	0.008050	OP	OneGlobally	6	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	4667	4667	1	22034	2505	0.113688	0	0	0.005934	OP	OneLocally	7	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	2491	2491	57	10537	1503	0.142640	0	0	0.007152	DT		8	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	1921	1921	54	8764	1503	0.171497	0	0	0.007736	TTT		9	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	2506	2506	1	12330	2505	0.203163	0	0	0.005984	Quotient		10	TeacherDFSM		Moore_R100_5.fsm
1	3	100	5	5	3096	3096	5	16824	2580	0.153352	0	0	0.048365	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	3011	3011	6	14490	2505	0.172878	0	0	0.029601	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	3011	3011	6	14490	2505	0.172878	0	0	0.033692	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	3016	3016	6	14502	2505	0.172735	0	0	0.019094	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	3020	3020	6	14518	2505	0.172544	0	0	0.029331	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	4767	4767	1	21866	2505	0.114561	0	0	0.005868	OP	AllGlobally	5	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	4767	4767	1	21866	2505	0.114561	0	0	0.005807	OP	OneGlobally	6	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	4726	4726	1	21755	2505	0.115146	0	0	0.006099	OP	OneLocally	7	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	2545	2545	60	10723	1550	0.144549	0	0	0.007752	DT		8	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	1973	1973	59	8855	1541	0.174026	0	0	0.009494	TTT		9	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	2506	2506	1	12030	2505	0.208229	0	0	0.006480	Quotient		10	TeacherDFSM		Moore_R100_5_LXHz2.fsm
1	3	100	5	5	2580	2580	5	15603	2993	0.191822	0	0	0.030761	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	2509	2509	5	13291	2104	0.158303	0	0	0.023812	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	2509	2509	5	13291	2104	0.158303	0	0	0.025957	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	2513	2513	5	13303	2104	0.158160	0	0	0.019831	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	2516	2516	5	13313	2104	0.158041	0	0	0.025475	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	4675	4675	1	22198	2505	0.112848	0	0	0.017884	OP	AllGlobally	5	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	4675	4675	1	22198	2505	0.112848	0	0	0.007217	OP	OneGlobally	6	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	4624	4624	1	22046	2505	0.113626	0	0	0.005929	OP	OneLocally	7	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	2286	2286	49	10168	1452	0.142801	0	0	0.008932	DT		8	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	1842	1842	49	8819	1448	0.164191	0	0	0.007736	TTT		9	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	2506	2506	1	12455	2505	0.201124	0	0	0.006055	Quotient		10	TeacherDFSM		Moore_R100_5_tJaZj.fsm
1	3	100	5	5	3647	3647	6	21053	3022	0.143542	0	0	0.090153	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R100_5_g8EOn.fsm
1	3	100	5	5	3513	3513	7	17354	2906	0.167454	0	0	0.085302	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R100_5_g8EOn.fsm
1	3	100	5	5	3513	3513	7	17354	2906	0.167454	0	0	0.066255	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R100_5_g8EOn.fsm
