Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	3	70	5	5	2632	2632	7	15248	2181	0.143035	0	0	0.016066	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	2110	2110	5	11102	2317	0.208701	0	0	0.008993	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	1759	1759	5	8669	1477	0.170377	0	0	0.008843	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	1764	1764	5	8686	1477	0.170044	0	0	0.008050	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	1766	1766	5	8692	1477	0.169926	0	0	0.008120	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	5331	5331	2	29776	5970	0.200497	0	0	0.010629	OP	AllGlobally	5	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	3578	3578	2	16568	2036	0.122887	0	0	0.005007	OP	OneGlobally	6	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	3208	3208	2	14552	1767	0.121427	0	0	0.004414	OP	OneLocally	7	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	1638	1638	39	6798	1022	0.150338	0	0	0.004267	DT		8	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	1294	1294	38	5780	1021	0.176644	0	0	0.004712	TTT		9	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	2033	2033	2	9932	2036	0.204994	0	0	0.005537	Quotient		10	TeacherDFSM		Moore_R70_5.fsm
1	3	70	5	5	2632	2632	6	14216	2181	0.153419	0	0	0.013893	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	2463	2463	7	12031	2036	0.169229	0	0	0.012301	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	2463	2463	7	12031	2036	0.169229	0	0	0.013624	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	2469	2469	7	12047	2036	0.169005	0	0	0.012439	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	2473	2473	7	12062	2036	0.168795	0	0	0.012533	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	5021	5021	2	25978	4284	0.164909	0	0	0.008337	OP	AllGlobally	5	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	3619	3619	2	16344	2036	0.124572	0	0	0.004896	OP	OneGlobally	6	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	3243	3243	2	14319	1759	0.122844	0	0	0.004057	OP	OneLocally	7	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	1647	1647	41	6650	1033	0.155338	0	0	0.004312	DT		8	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	1308	1308	40	5722	1032	0.180357	0	0	0.004741	TTT		9	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	2032	2032	2	9728	2036	0.209293	0	0	0.005099	Quotient		10	TeacherDFSM		Moore_R70_5_Jgbnj.fsm
1	3	70	5	5	1805	1805	4	9191	1516	0.164944	0	0	0.008495	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	2111	2111	6	10343	1755	0.169680	0	0	0.009910	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	2111	2111	6	10343	1755	0.169680	0	0	0.010932	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	2116	2116	6	10357	1755	0.169451	0	0	0.009936	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	2120	2120	6	10372	1755	0.169206	0	0	0.009898	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	5360	5360	2	30378	5127	0.168773	0	0	0.010476	OP	AllGlobally	5	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	3607	3607	2	17020	2036	0.119624	0	0	0.005267	OP	OneGlobally	6	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	3235	3235	2	14951	1762	0.117852	0	0	0.004385	OP	OneLocally	7	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	1674	1674	40	6913	1026	0.148416	0	0	0.004300	DT		8	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	1307	1307	40	5780	1026	0.177509	0	0	0.004775	TTT		9	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	2029	2029	2	10049	2036	0.202607	0	0	0.005341	Quotient		10	TeacherDFSM		Moore_R70_5_CvsDg.fsm
1	3	70	5	5	1755	1755	4	9383	1755	0.187040	0	0	0.006990	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
1	3	70	5	5	1759	1759	5	7941	1474	0.185619	0	0	0.007086	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
1	3	70	5	5	1759	1759	5	7941	1474	0.185619	0	0	0.007334	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
1	3	70	5	5	1763	1763	5	7951	1474	0.185385	0	0	0.007276	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
1	3	70	5	5	1766	1766	5	7961	1474	0.185153	0	0	0.007106	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
1	3	70	5	5	3217	3217	1	14317	1755	0.122582	0	0	0.004043	OP	AllGlobally	5	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
1	3	70	5	5	3217	3217	1	14317	1755	0.122582	0	0	0.003996	OP	OneGlobally	6	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
1	3	70	5	5	3184	3184	1	14233	1755	0.123305	0	0	0.004194	OP	OneLocally	7	TeacherDFSM		Moore_R70_5_sv5Ko.fsm
