Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	3	800	5	5	32015	32015	8	210797	26407	0.125272	0	0	2.719030	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	32015	32015	8	210797	26407	0.125272	0	0	2.781587	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	32022	32022	8	210820	26407	0.125259	0	0	2.717839	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	32028	32028	8	210846	26407	0.125243	0	0	2.720474	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	66771	66771	2	465430	58417	0.125512	0	0	0.171853	OP	AllGlobally	5	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	50771	50771	3	314284	26407	0.084023	0	0	0.103822	OP	OneGlobally	6	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	42585	42585	19	256492	20127	0.078470	0	0	0.091724	OP	OneLocally	7	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	28842	28842	424	157060	16211	0.103215	0	0	0.369306	DT		8	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	20719	20719	421	126478	16164	0.127801	0	0	0.468709	TTT		9	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	26322	26322	3	170681	26407	0.154716	0	0	0.142239	Quotient		10	TeacherDFSM		Moore_R800_5_6gAA1.fsm
1	3	800	5	5	32168	32168	8	243995	26539	0.108769	0	0	3.292544	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	32015	32015	8	216198	26407	0.122143	0	0	2.715274	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	32015	32015	8	216198	26407	0.122143	0	0	2.853452	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	32022	32022	8	216226	26407	0.122127	0	0	2.702730	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	32029	32029	8	216261	26407	0.122107	0	0	2.722233	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	66915	66915	2	471568	68020	0.144242	0	0	0.172623	OP	AllGlobally	5	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	50915	50915	3	319209	26407	0.082726	0	0	0.107949	OP	OneGlobally	6	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	42703	42703	15	260570	20107	0.077165	0	0	0.091535	OP	OneLocally	7	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	29904	29904	451	162395	16427	0.101155	0	0	0.401898	DT		8	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	20978	20978	439	128742	16351	0.127006	0	0	0.484365	TTT		9	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	26352	26352	3	172885	26407	0.152743	0	0	0.137128	Quotient		10	TeacherDFSM		Moore_R800_5_iNMot.fsm
1	3	800	5	5	40410	40410	10	309911	33137	0.106924	0	0	4.899803	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	36016	36016	8	251124	32809	0.130649	0	0	2.721897	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	36017	36017	9	247130	29610	0.119815	0	0	3.584550	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	36026	36026	9	247171	29610	0.119796	0	0	3.425970	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	36033	36033	9	247204	29610	0.119780	0	0	3.422393	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	62808	62808	2	423858	52015	0.122718	0	0	0.154413	OP	AllGlobally	5	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	54812	54812	4	345934	29608	0.085589	0	0	0.128465	OP	OneGlobally	6	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	42676	42676	21	259131	20173	0.077849	0	0	0.094487	OP	OneLocally	7	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	29426	29426	434	158522	16273	0.102655	0	0	0.383190	DT		8	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	20842	20842	426	126371	16236	0.128479	0	0	0.475481	TTT		9	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	29518	29518	4	195181	29608	0.151695	0	0	0.187084	Quotient		10	TeacherDFSM		Moore_R800_5_3FVrt.fsm
1	3	800	5	5	40310	40310	10	325570	33055	0.101530	0	0	5.522885	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R800_5_iZ983.fsm
1	3	800	5	5	36016	36016	8	270247	32809	0.121404	0	0	3.090093	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R800_5_iZ983.fsm
1	3	800	5	5	40019	40019	10	298951	32814	0.109764	0	0	5.045869	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R800_5_iZ983.fsm
1	3	800	5	5	40031	40031	10	299014	32814	0.109741	0	0	4.745568	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R800_5_iZ983.fsm
