Correct	FSMtype	States	Inputs	Outputs	Resets	OQs	EQs	symbols	Exploration	EE	BBresets	BBsymbols	seconds	Algorithm	CEprocessing	AlgId	Teacher	BB	fileName
1	3	600	5	5	27189	27189	9	201162	24773	0.123150	0	0	2.189510	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	24015	24015	8	161156	19807	0.122906	0	0	1.510080	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	24015	24015	8	161156	19807	0.122906	0	0	1.549819	L*	addSuffix1by1ToE	2	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	24022	24022	8	161179	19807	0.122888	0	0	1.509184	L*	addSuffixAfterLastStateToE	3	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	24028	24028	8	161204	19807	0.122869	0	0	1.508826	L*	addSuffixToE_binarySearch	4	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	46682	46682	2	308195	31812	0.103220	0	0	0.110837	OP	AllGlobally	5	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	37683	37683	3	229385	19807	0.086348	0	0	0.077553	OP	OneGlobally	6	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	31611	31611	18	187444	15142	0.080781	0	0	0.065912	OP	OneLocally	7	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	21318	21318	339	113727	11992	0.105445	0	0	0.220749	DT		8	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	15253	15253	333	91658	11913	0.129972	0	0	0.271146	TTT		9	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	19728	19728	3	125321	19807	0.158050	0	0	0.094106	Quotient		10	TeacherDFSM		Moore_R600_5.fsm
1	3	600	5	5	18066	18066	6	129631	24691	0.190471	0	0	1.194620	L*	addAllPrefixesToS	0	TeacherDFSM		Moore_R600_5_z81qh.fsm
1	3	600	5	5	24014	24014	7	160431	22208	0.138427	0	0	1.137361	L*	addAllSuffixesAfterLastStateToE	1	TeacherDFSM		Moore_R600_5_z81qh.fsm
